日付,時間,役,順位,名前,得票数
04/19,2,四天王,1,奈緒,471
04/19,2,四天王,2,亜利沙,469
04/19,2,四天王,3,茜,311
04/19,2,四天王,4,莉緒,216
04/19,2,四天王,5,歩,149
04/19,2,四天王,6,風花,72
04/19,2,四天王,7,志保,44
04/19,2,四天王,8,のり子,42
04/19,2,四天王,9,朋花,36
04/19,2,四天王,10,瑞希,36
04/19,3,四天王,1,亜利沙,538
04/19,3,四天王,2,奈緒,503
04/19,3,四天王,3,茜,336
04/19,3,四天王,4,莉緒,223
04/19,3,四天王,5,歩,149
04/19,3,四天王,6,風花,73
04/19,3,四天王,7,志保,44
04/19,3,四天王,8,のり子,43
04/19,3,四天王,9,瑞希,37
04/19,3,四天王,10,朋花,37
04/19,4,四天王,1,亜利沙,543
04/19,4,四天王,2,奈緒,520
04/19,4,四天王,3,茜,339
04/19,4,四天王,4,莉緒,230
04/19,4,四天王,5,歩,151
04/19,4,四天王,6,風花,73
04/19,4,四天王,7,志保,45
04/19,4,四天王,8,のり子,43
04/19,4,四天王,9,瑞希,38
04/19,4,四天王,10,朋花,37
04/19,5,四天王,1,亜利沙,552
04/19,5,四天王,2,奈緒,525
04/19,5,四天王,3,茜,342
04/19,5,四天王,4,莉緒,232
04/19,5,四天王,5,歩,153
04/19,5,四天王,6,風花,73
04/19,5,四天王,7,志保,45
04/19,5,四天王,8,のり子,43
04/19,5,四天王,9,瑞希,39
04/19,5,四天王,10,朋花,37
04/19,6,四天王,1,亜利沙,574
04/19,6,四天王,2,奈緒,529
04/19,6,四天王,3,茜,348
04/19,6,四天王,4,莉緒,235
04/19,6,四天王,5,歩,153
04/19,6,四天王,6,風花,74
04/19,6,四天王,7,志保,47
04/19,6,四天王,8,のり子,45
04/19,6,四天王,9,瑞希,39
04/19,6,四天王,10,恵美,39
04/19,7,四天王,1,亜利沙,590
04/19,7,四天王,2,奈緒,557
04/19,7,四天王,3,茜,362
04/19,7,四天王,4,莉緒,243
04/19,7,四天王,5,歩,153
04/19,7,四天王,6,風花,74
04/19,7,四天王,7,志保,48
04/19,7,四天王,8,のり子,45
04/19,7,四天王,9,瑞希,42
04/19,7,四天王,10,恵美,40
04/19,8,四天王,1,亜利沙,604
04/19,8,四天王,2,奈緒,589
04/19,8,四天王,3,茜,377
04/19,8,四天王,4,莉緒,249
04/19,8,四天王,5,歩,169
04/19,8,四天王,6,風花,77
04/19,8,四天王,7,志保,50
04/19,8,四天王,8,のり子,47
04/19,8,四天王,9,瑞希,43
04/19,8,四天王,10,恵美,41
04/19,9,四天王,1,亜利沙,631
04/19,9,四天王,2,奈緒,617
04/19,9,四天王,3,茜,382
04/19,9,四天王,4,莉緒,261
04/19,9,四天王,5,歩,171
04/19,9,四天王,6,風花,77
04/19,9,四天王,7,志保,52
04/19,9,四天王,8,のり子,49
04/19,9,四天王,9,瑞希,44
04/19,9,四天王,10,朋花,43
04/19,10,四天王,1,亜利沙,660
04/19,10,四天王,2,奈緒,641
04/19,10,四天王,3,茜,389
04/19,10,四天王,4,莉緒,278
04/19,10,四天王,5,歩,174
04/19,10,四天王,6,風花,80
04/19,10,四天王,7,志保,53
04/19,10,四天王,8,のり子,50
04/19,10,四天王,9,瑞希,44
04/19,10,四天王,10,朋花,43
04/19,11,四天王,1,亜利沙,684
04/19,11,四天王,2,奈緒,668
04/19,11,四天王,3,茜,392
04/19,11,四天王,4,莉緒,286
04/19,11,四天王,5,歩,183
04/19,11,四天王,6,風花,80
04/19,11,四天王,7,志保,55
04/19,11,四天王,8,のり子,50
04/19,11,四天王,9,瑞希,45
04/19,11,四天王,10,恵美,44
04/19,12,四天王,1,亜利沙,698
04/19,12,四天王,2,奈緒,696
04/19,12,四天王,3,茜,397
04/19,12,四天王,4,莉緒,290
04/19,12,四天王,5,歩,186
04/19,12,四天王,6,風花,81
04/19,12,四天王,7,志保,55
04/19,12,四天王,8,のり子,50
04/19,12,四天王,9,瑞希,45
04/19,12,四天王,10,恵美,44
04/19,13,四天王,1,奈緒,760
04/19,13,四天王,2,亜利沙,743
04/19,13,四天王,3,茜,413
04/19,13,四天王,4,莉緒,295
04/19,13,四天王,5,歩,198
04/19,13,四天王,6,風花,81
04/19,13,四天王,7,志保,55
04/19,13,四天王,8,のり子,50
04/19,13,四天王,9,瑞希,45
04/19,13,四天王,10,恵美,45
04/19,14,四天王,1,奈緒,781
04/19,14,四天王,2,亜利沙,759
04/19,14,四天王,3,茜,422
