日付,時間,役,順位,名前,得票数
04/19,2,用心棒,1,のり子,378
04/19,2,用心棒,2,ジュリア,174
04/19,2,用心棒,3,海美,159
04/19,2,用心棒,4,志保,152
04/19,2,用心棒,5,昴,99
04/19,2,用心棒,6,瑞希,91
04/19,2,用心棒,7,エミリー,57
04/19,2,用心棒,8,恵美,31
04/19,2,用心棒,9,まつり,22
04/19,2,用心棒,10,風花,22
04/19,3,用心棒,1,のり子,403
04/19,3,用心棒,2,志保,183
04/19,3,用心棒,3,ジュリア,179
04/19,3,用心棒,4,海美,172
04/19,3,用心棒,5,昴,106
04/19,3,用心棒,6,瑞希,93
04/19,3,用心棒,7,エミリー,57
04/19,3,用心棒,8,恵美,33
04/19,3,用心棒,9,まつり,23
04/19,3,用心棒,10,風花,23
04/19,4,用心棒,1,のり子,406
04/19,4,用心棒,2,志保,188
04/19,4,用心棒,3,ジュリア,180
04/19,4,用心棒,4,海美,179
04/19,4,用心棒,5,昴,106
04/19,4,用心棒,6,瑞希,94
04/19,4,用心棒,7,エミリー,57
04/19,4,用心棒,8,恵美,33
04/19,4,用心棒,9,まつり,25
04/19,4,用心棒,10,風花,23
04/19,5,用心棒,1,のり子,412
04/19,5,用心棒,2,志保,190
04/19,5,用心棒,3,海美,183
04/19,5,用心棒,4,ジュリア,182
04/19,5,用心棒,5,昴,108
04/19,5,用心棒,6,瑞希,96
04/19,5,用心棒,7,エミリー,57
04/19,5,用心棒,8,恵美,33
04/19,5,用心棒,9,まつり,25
04/19,5,用心棒,10,風花,25
04/19,6,用心棒,1,のり子,416
04/19,6,用心棒,2,志保,196
04/19,6,用心棒,3,海美,188
04/19,6,用心棒,4,ジュリア,182
04/19,6,用心棒,5,昴,108
04/19,6,用心棒,6,瑞希,96
04/19,6,用心棒,7,エミリー,58
04/19,6,用心棒,8,恵美,33
04/19,6,用心棒,9,まつり,25
04/19,6,用心棒,10,風花,25
04/19,7,用心棒,1,のり子,424
04/19,7,用心棒,2,志保,208
04/19,7,用心棒,3,海美,198
04/19,7,用心棒,4,ジュリア,182
04/19,7,用心棒,5,昴,110
04/19,7,用心棒,6,瑞希,96
04/19,7,用心棒,7,エミリー,58
04/19,7,用心棒,8,恵美,33
04/19,7,用心棒,9,まつり,25
04/19,7,用心棒,10,風花,25
04/19,8,用心棒,1,のり子,451
04/19,8,用心棒,2,志保,237
04/19,8,用心棒,3,海美,213
