日付,時間,役,順位,名前,得票数
04/19,2,霊,1,麗花,486
04/19,2,霊,2,紗代子,476
04/19,2,霊,3,美也,201
04/19,2,霊,4,瑞希,71
04/19,2,霊,5,杏奈,57
04/19,2,霊,6,ジュリア,41
04/19,2,霊,7,まつり,40
04/19,2,霊,8,琴葉,38
04/19,2,霊,9,莉緒,35
04/19,2,霊,10,志保,27
04/19,3,霊,1,麗花,507
04/19,3,霊,2,紗代子,497
04/19,3,霊,3,美也,202
04/19,3,霊,4,瑞希,72
04/19,3,霊,5,杏奈,57
04/19,3,霊,6,ジュリア,41
04/19,3,霊,7,まつり,40
04/19,3,霊,8,琴葉,39
04/19,3,霊,9,莉緒,36
04/19,3,霊,10,志保,27
04/19,4,霊,1,麗花,521
04/19,4,霊,2,紗代子,520
04/19,4,霊,3,美也,206
04/19,4,霊,4,瑞希,73
04/19,4,霊,5,杏奈,57
04/19,4,霊,6,ジュリア,41
04/19,4,霊,7,琴葉,41
04/19,4,霊,8,まつり,40
04/19,4,霊,9,莉緒,36
04/19,4,霊,10,志保,27
04/19,5,霊,1,紗代子,531
04/19,5,霊,2,麗花,530
04/19,5,霊,3,美也,208
04/19,5,霊,4,瑞希,73
04/19,5,霊,5,杏奈,57
04/19,5,霊,6,琴葉,42
04/19,5,霊,7,ジュリア,41
04/19,5,霊,8,まつり,40
04/19,5,霊,9,莉緒,36
04/19,5,霊,10,志保,27
04/19,6,霊,1,麗花,541
04/19,6,霊,2,紗代子,540
04/19,6,霊,3,美也,210
04/19,6,霊,4,瑞希,74
04/19,6,霊,5,杏奈,58
04/19,6,霊,6,琴葉,43
04/19,6,霊,7,ジュリア,41
04/19,6,霊,8,まつり,40
04/19,6,霊,9,莉緒,36
04/19,6,霊,10,志保,27
04/19,7,霊,1,麗花,571
04/19,7,霊,2,紗代子,561
04/19,7,霊,3,美也,218
04/19,7,霊,4,瑞希,74
04/19,7,霊,5,杏奈,58
04/19,7,霊,6,琴葉,43
04/19,7,霊,7,ジュリア,41
04/19,7,霊,8,まつり,41
04/19,7,霊,9,莉緒,37
04/19,7,霊,10,志保,27
04/19,8,霊,1,紗代子,620
04/19,8,霊,2,麗花,602
04/19,8,霊,3,美也,228
04/19,8,霊,4,瑞希,76
04/19,8,霊,5,杏奈,59
04/19,8,霊,6,琴葉,43
04/19,8,霊,7,まつり,43
04/19,8,霊,8,ジュリア,42
04/19,8,霊,9,莉緒,37
04/19,8,霊,10,志保,30
04/19,9,霊,1,紗代子,648
04/19,9,霊,2,麗花,635
04/19,9,霊,3,美也,243
04/19,9,霊,4,瑞希,80
04/19,9,霊,5,杏奈,61
04/19,9,霊,6,琴葉,44
04/19,9,霊,7,まつり,43
04/19,9,霊,8,ジュリア,43
04/19,9,霊,9,莉緒,37
04/19,9,霊,10,志保,30
04/19,10,霊,1,紗代子,690
04/19,10,霊,2,麗花,676
04/19,10,霊,3,美也,249
04/19,10,霊,4,瑞希,81
04/19,10,霊,5,杏奈,61
04/19,10,霊,6,ジュリア,46
04/19,10,霊,7,琴葉,44
04/19,10,霊,8,まつり,43
04/19,10,霊,9,莉緒,37
04/19,10,霊,10,志保,30
04/19,11,霊,1,紗代子,706
04/19,11,霊,2,麗花,699
04/19,11,霊,3,美也,250
04/19,11,霊,4,瑞希,82
04/19,11,霊,5,杏奈,64
04/19,11,霊,6,ジュリア,47
04/19,11,霊,7,琴葉,44
04/19,11,霊,8,まつり,43
04/19,11,霊,9,莉緒,37
04/19,11,霊,10,志保,30
04/19,12,霊,1,麗花,730
04/19,12,霊,2,紗代子,721
04/19,12,霊,3,美也,255
04/19,12,霊,4,瑞希,83
04/19,12,霊,5,杏奈,65
04/19,12,霊,6,琴葉,48
04/19,12,霊,7,ジュリア,47
04/19,12,霊,8,まつり,43
04/19,12,霊,9,莉緒,38
04/19,12,霊,10,志保,30
04/19,13,霊,1,麗花,773
04/19,13,霊,2,紗代子,773
04/19,13,霊,3,美也,264
04/19,13,霊,4,瑞希,84
04/19,13,霊,5,杏奈,69
04/19,13,霊,6,琴葉,50
04/19,13,霊,7,ジュリア,48
04/19,13,霊,8,まつり,43
04/19,13,霊,9,莉緒,38
04/19,13,霊,10,志保,31
