日付,時間,役,順位,名前,得票数
04/19,2,お嬢,1,桃子,665
04/19,2,お嬢,2,千鶴,475
04/19,2,お嬢,3,静香,197
04/19,2,お嬢,4,星梨花,187
04/19,2,お嬢,5,琴葉,167
04/19,2,お嬢,6,まつり,132
04/19,2,お嬢,7,エミリー,121
04/19,2,お嬢,8,紗代子,90
04/19,2,お嬢,9,志保,78
04/19,2,お嬢,10,朋花,72
04/19,3,お嬢,1,桃子,712
04/19,3,お嬢,2,千鶴,502
04/19,3,お嬢,3,静香,224
04/19,3,お嬢,4,星梨花,195
04/19,3,お嬢,5,琴葉,169
04/19,3,お嬢,6,まつり,138
04/19,3,お嬢,7,エミリー,128
04/19,3,お嬢,8,紗代子,92
04/19,3,お嬢,9,志保,79
04/19,3,お嬢,10,朋花,73
04/19,4,お嬢,1,桃子,726
04/19,4,お嬢,2,千鶴,519
04/19,4,お嬢,3,静香,233
04/19,4,お嬢,4,星梨花,197
04/19,4,お嬢,5,琴葉,169
04/19,4,お嬢,6,まつり,143
04/19,4,お嬢,7,エミリー,128
04/19,4,お嬢,8,紗代子,93
04/19,4,お嬢,9,志保,80
04/19,4,お嬢,10,朋花,73
04/19,5,お嬢,1,桃子,729
04/19,5,お嬢,2,千鶴,524
04/19,5,お嬢,3,静香,235
04/19,5,お嬢,4,星梨花,197
04/19,5,お嬢,5,琴葉,169
04/19,5,お嬢,6,まつり,143
04/19,5,お嬢,7,エミリー,129
04/19,5,お嬢,8,紗代子,93
04/19,5,お嬢,9,志保,81
04/19,5,お嬢,10,朋花,75
04/19,6,お嬢,1,桃子,744
04/19,6,お嬢,2,千鶴,527
04/19,6,お嬢,3,静香,237
04/19,6,お嬢,4,星梨花,200
04/19,6,お嬢,5,琴葉,170
04/19,6,お嬢,6,まつり,143
04/19,6,お嬢,7,エミリー,130
04/19,6,お嬢,8,紗代子,95
04/19,6,お嬢,9,志保,83
04/19,6,お嬢,10,朋花,75
04/19,7,お嬢,1,桃子,772
04/19,7,お嬢,2,千鶴,541
04/19,7,お嬢,3,静香,249
04/19,7,お嬢,4,星梨花,202
04/19,7,お嬢,5,琴葉,176
04/19,7,お嬢,6,まつり,147
04/19,7,お嬢,7,エミリー,134
04/19,7,お嬢,8,紗代子,97
04/19,7,お嬢,9,志保,86
04/19,7,お嬢,10,朋花,76
04/19,8,お嬢,1,桃子,806
04/19,8,お嬢,2,千鶴,568
04/19,8,お嬢,3,静香,262
04/19,8,お嬢,4,星梨花,207
04/19,8,お嬢,5,琴葉,192
04/19,8,お嬢,6,まつり,154
04/19,8,お嬢,7,エミリー,138
04/19,8,お嬢,8,紗代子,99
04/19,8,お嬢,9,志保,89
04/19,8,お嬢,10,朋花,78
04/19,9,お嬢,1,桃子,828
04/19,9,お嬢,2,千鶴,587
04/19,9,お嬢,3,静香,278
04/19,9,お嬢,4,星梨花,211
04/19,9,お嬢,5,琴葉,200
04/19,9,お嬢,6,まつり,161
04/19,9,お嬢,7,エミリー,139
04/19,9,お嬢,8,紗代子,102
04/19,9,お嬢,9,志保,96
04/19,9,お嬢,10,朋花,78
04/19,10,お嬢,1,桃子,858
04/19,10,お嬢,2,千鶴,594
04/19,10,お嬢,3,静香,286
04/19,10,お嬢,4,星梨花,215
04/19,10,お嬢,5,琴葉,202
04/19,10,お嬢,6,まつり,162
04/19,10,お嬢,7,エミリー,147
04/19,10,お嬢,8,紗代子,102
04/19,10,お嬢,9,志保,99
04/19,10,お嬢,10,朋花,79
04/19,11,お嬢,1,桃子,874
04/19,11,お嬢,2,千鶴,606
04/19,11,お嬢,3,静香,296
04/19,11,お嬢,4,星梨花,224
04/19,11,お嬢,5,琴葉,203
04/19,11,お嬢,6,まつり,163
04/19,11,お嬢,7,エミリー,148
04/19,11,お嬢,8,紗代子,102
04/19,11,お嬢,9,志保,99
04/19,11,お嬢,10,朋花,82
04/19,12,お嬢,1,桃子,893
04/19,12,お嬢,2,千鶴,622
04/19,12,お嬢,3,静香,306
04/19,12,お嬢,4,星梨花,227
04/19,12,お嬢,5,琴葉,208
04/19,12,お嬢,6,まつり,164
04/19,12,お嬢,7,エミリー,153
04/19,12,お嬢,8,紗代子,103
04/19,12,お嬢,9,志保,99
04/19,12,お嬢,10,朋花,82
04/19,13,お嬢,1,桃子,931
