日付,時間,役,順位,名前,得票数
04/19,2,勇者,1,百合子,956
04/19,2,勇者,2,杏奈,695
04/19,2,勇者,3,未来,251
04/19,2,勇者,4,静香,81
04/19,2,勇者,5,海美,81
04/19,2,勇者,6,昴,71
04/19,2,勇者,7,翼,68
04/19,2,勇者,8,琴葉,56
04/19,2,勇者,9,志保,46
04/19,2,勇者,10,紗代子,38
04/19,3,勇者,1,百合子,984
04/19,3,勇者,2,杏奈,732
04/19,3,勇者,3,未来,260
04/19,3,勇者,4,静香,81
04/19,3,勇者,5,海美,81
04/19,3,勇者,6,昴,73
04/19,3,勇者,7,翼,70
04/19,3,勇者,8,琴葉,58
04/19,3,勇者,9,志保,50
04/19,3,勇者,10,紗代子,38
04/19,4,勇者,1,百合子,990
04/19,4,勇者,2,杏奈,746
04/19,4,勇者,3,未来,263
04/19,4,勇者,4,海美,87
04/19,4,勇者,5,静香,83
04/19,4,勇者,6,昴,73
04/19,4,勇者,7,翼,70
04/19,4,勇者,8,琴葉,60
04/19,4,勇者,9,志保,50
04/19,4,勇者,10,紗代子,38
04/19,5,勇者,1,百合子,1006
04/19,5,勇者,2,杏奈,755
04/19,5,勇者,3,未来,265
04/19,5,勇者,4,海美,87
04/19,5,勇者,5,静香,83
04/19,5,勇者,6,昴,74
04/19,5,勇者,7,翼,70
04/19,5,勇者,8,琴葉,60
04/19,5,勇者,9,志保,50
04/19,5,勇者,10,紗代子,38
04/19,6,勇者,1,百合子,1024
04/19,6,勇者,2,杏奈,760
04/19,6,勇者,3,未来,270
04/19,6,勇者,4,海美,87
04/19,6,勇者,5,静香,84
04/19,6,勇者,6,昴,74
04/19,6,勇者,7,翼,70
04/19,6,勇者,8,琴葉,61
04/19,6,勇者,9,志保,51
04/19,6,勇者,10,紗代子,38
04/19,7,勇者,1,百合子,1058
04/19,7,勇者,2,杏奈,790
04/19,7,勇者,3,未来,277
04/19,7,勇者,4,海美,89
04/19,7,勇者,5,静香,87
04/19,7,勇者,6,翼,77
04/19,7,勇者,7,昴,75
04/19,7,勇者,8,琴葉,64
04/19,7,勇者,9,志保,52
04/19,7,勇者,10,紗代子,40
04/19,8,勇者,1,百合子,1115
04/19,8,勇者,2,杏奈,854
04/19,8,勇者,3,未来,295
04/19,8,勇者,4,静香,94
04/19,8,勇者,5,海美,93
04/19,8,勇者,6,翼,83
04/19,8,勇者,7,昴,81
04/19,8,勇者,8,琴葉,69
04/19,8,勇者,9,志保,53
04/19,8,勇者,10,紗代子,42
04/19,9,勇者,1,百合子,1159
04/19,9,勇者,2,杏奈,886
04/19,9,勇者,3,未来,302
04/19,9,勇者,4,海美,96
04/19,9,勇者,5,静香,95
04/19,9,勇者,6,昴,85
04/19,9,勇者,7,翼,84
04/19,9,勇者,8,琴葉,73
04/19,9,勇者,9,志保,53
04/19,9,勇者,10,紗代子,43
04/19,10,勇者,1,百合子,1194
04/19,10,勇者,2,杏奈,900
04/19,10,勇者,3,未来,304
04/19,10,勇者,4,海美,97
04/19,10,勇者,5,静香,97
04/19,10,勇者,6,翼,89
04/19,10,勇者,7,昴,87
04/19,10,勇者,8,琴葉,75
04/19,10,勇者,9,志保,54
04/19,10,勇者,10,紗代子,44
04/19,11,勇者,1,百合子,1220
04/19,11,勇者,2,杏奈,921
04/19,11,勇者,3,未来,310
04/19,11,勇者,4,静香,98
04/19,11,勇者,5,海美,97
04/19,11,勇者,6,翼,90
04/19,11,勇者,7,昴,89
04/19,11,勇者,8,琴葉,76
04/19,11,勇者,9,志保,54
04/19,11,勇者,10,紗代子,46
04/19,12,勇者,1,百合子,1261
04/19,12,勇者,2,杏奈,945
04/19,12,勇者,3,未来,316
04/19,12,勇者,4,海美,101
04/19,12,勇者,5,静香,98
04/19,12,勇者,6,翼,91
04/19,12,勇者,7,昴,89
04/19,12,勇者,8,琴葉,79
04/19,12,勇者,9,志保,54
04/19,12,勇者,10,紗代子,47
04/19,13,勇者,1,百合子,1284
04/19,13,勇者,2,杏奈,974
04/19,13,勇者,3,未来,326
04/19,13,勇者,4,海美,102
04/19,13,勇者,5,静香,98
04/19,13,勇者,6,翼,92
04/19,13,勇者,7,昴,90
04/19,13,勇者,8,琴葉,80
04/19,13,勇者,9,志保,54
04/19,13,勇者,10,紗代子,47
04/19,14,勇者,1,百合子,1311
04/19,14,勇者,2,杏奈,984
04/19,14,勇者,3,未来,336
04/19,14,勇者,4,海美,107
04/19,14,勇者,5,静香,98
04/19,14,勇者,6,翼,93
04/19,14,勇者,7,昴,91
04/19,14,勇者,8,琴葉,80
04/19,14,勇者,9,志保,54
04/19,14,勇者,10,紗代子,47
04/19,15,勇者,1,百合子,1326
04/19,15,勇者,2,杏奈,991
04/19,15,勇者,3,未来,339
04/19,15,勇者,4,海美,109
04/19,15,勇者,5,静香,102
04/19,15,勇者,6,翼,96
04/19,15,勇者,7,昴,91
04/19,15,勇者,8,琴葉,81
04/19,15,勇者,9,志保,54
04/19,15,勇者,10,紗代子,47
04/19,16,勇者,1,百合子,1334
04/19,16,勇者,2,杏奈,1022
04/19,16,勇者,3,未来,342
04/19,16,勇者,4,海美,113
04/19,16,勇者,5,静香,103
04/19,16,勇者,6,翼,97
04/19,16,勇者,7,昴,91
04/19,16,勇者,8,琴葉,82
04/19,16,勇者,9,志保,55
04/19,16,勇者,10,紗代子,48
04/19,17,勇者,1,百合子,1350
04/19,17,勇者,2,杏奈,1037
04/19,17,勇者,3,未来,343
04/19,17,勇者,4,海美,113
04/19,17,勇者,5,静香,107
04/19,17,勇者,6,翼,98
04/19,17,勇者,7,昴,92
04/19,17,勇者,8,琴葉,82
04/19,17,勇者,9,志保,55
04/19,17,勇者,10,紗代子,48
04/19,18,勇者,1,百合子,1372
04/19,18,勇者,2,杏奈,1049
04/19,18,勇者,3,未来,347
04/19,18,勇者,4,海美,114
04/19,18,勇者,5,静香,107
04/19,18,勇者,6,翼,98
04/19,18,勇者,7,昴,92
04/19,18,勇者,8,琴葉,82
04/19,18,勇者,9,志保,55
04/19,18,勇者,10,紗代子,51
04/19,19,勇者,1,百合子,1396
04/19,19,勇者,2,杏奈,1067
04/19,19,勇者,3,未来,349
04/19,19,勇者,4,海美,114
04/19,19,勇者,5,静香,107
04/19,19,勇者,6,翼,98
04/19,19,勇者,7,昴,93
04/19,19,勇者,8,琴葉,82
04/19,19,勇者,9,志保,55
04/19,19,勇者,10,紗代子,51
04/19,20,勇者,1,百合子,1417
04/19,20,勇者,2,杏奈,1100
04/19,20,勇者,3,未来,351
04/19,20,勇者,4,海美,115
04/19,20,勇者,5,翼,108
04/19,20,勇者,6,静香,107
04/19,20,勇者,7,昴,97
04/19,20,勇者,8,琴葉,83
04/19,20,勇者,9,志保,55
04/19,20,勇者,10,紗代子,51
04/19,21,勇者,1,百合子,1450
04/19,21,勇者,2,杏奈,1131
04/19,21,勇者,3,未来,352
