日付,時間,役,順位,名前,得票数
04/19,2,妖精,1,星梨花,610
04/19,2,妖精,2,杏奈,178
04/19,2,妖精,3,このみ,143
04/19,2,妖精,4,育,118
04/19,2,妖精,5,百合子,79
04/19,2,妖精,6,エミリー,66
04/19,2,妖精,7,桃子,63
04/19,2,妖精,8,環,58
04/19,2,妖精,9,美也,49
04/19,2,妖精,10,ひなた,46
04/19,3,妖精,1,星梨花,634
04/19,3,妖精,2,杏奈,179
04/19,3,妖精,3,このみ,151
04/19,3,妖精,4,育,122
04/19,3,妖精,5,百合子,80
04/19,3,妖精,6,エミリー,66
04/19,3,妖精,7,桃子,65
04/19,3,妖精,8,環,58
04/19,3,妖精,9,美也,49
04/19,3,妖精,10,ひなた,46
04/19,4,妖精,1,星梨花,641
04/19,4,妖精,2,杏奈,182
04/19,4,妖精,3,このみ,154
04/19,4,妖精,4,育,123
04/19,4,妖精,5,百合子,80
04/19,4,妖精,6,エミリー,66
04/19,4,妖精,7,桃子,65
04/19,4,妖精,8,環,58
04/19,4,妖精,9,美也,49
04/19,4,妖精,10,ひなた,47
04/19,5,妖精,1,星梨花,653
04/19,5,妖精,2,杏奈,183
04/19,5,妖精,3,このみ,154
04/19,5,妖精,4,育,123
04/19,5,妖精,5,百合子,83
04/19,5,妖精,6,桃子,67
04/19,5,妖精,7,エミリー,66
04/19,5,妖精,8,環,61
04/19,5,妖精,9,美也,50
04/19,5,妖精,10,ひなた,49
04/19,6,妖精,1,星梨花,670
04/19,6,妖精,2,杏奈,186
04/19,6,妖精,3,このみ,155
04/19,6,妖精,4,育,124
04/19,6,妖精,5,百合子,83
04/19,6,妖精,6,エミリー,69
04/19,6,妖精,7,桃子,68
04/19,6,妖精,8,環,61
04/19,6,妖精,9,美也,54
04/19,6,妖精,10,ひなた,49
04/19,7,妖精,1,星梨花,695
04/19,7,妖精,2,杏奈,195
04/19,7,妖精,3,このみ,156
04/19,7,妖精,4,育,126
04/19,7,妖精,5,百合子,87
04/19,7,妖精,6,エミリー,72
04/19,7,妖精,7,桃子,71
04/19,7,妖精,8,環,64
04/19,7,妖精,9,美也,54
04/19,7,妖精,10,ひなた,54
04/19,8,妖精,1,星梨花,715
04/19,8,妖精,2,杏奈,201
04/19,8,妖精,3,このみ,161
04/19,8,妖精,4,育,129
04/19,8,妖精,5,百合子,88
04/19,8,妖精,6,エミリー,75
04/19,8,妖精,7,桃子,72
04/19,8,妖精,8,環,64
04/19,8,妖精,9,ひなた,55
04/19,8,妖精,10,美也,54
04/19,9,妖精,1,星梨花,739
04/19,9,妖精,2,杏奈,208
04/19,9,妖精,3,このみ,166
04/19,9,妖精,4,育,134
04/19,9,妖精,5,百合子,91
04/19,9,妖精,6,桃子,80
04/19,9,妖精,7,エミリー,76
04/19,9,妖精,8,環,65
04/19,9,妖精,9,ひなた,56
04/19,9,妖精,10,美也,54
04/19,10,妖精,1,星梨花,766
04/19,10,妖精,2,杏奈,216
04/19,10,妖精,3,このみ,172
04/19,10,妖精,4,育,135
04/19,10,妖精,5,百合子,92
04/19,10,妖精,6,桃子,80
04/19,10,妖精,7,エミリー,77
04/19,10,妖精,8,環,65
04/19,10,妖精,9,ひなた,57
04/19,10,妖精,10,美也,54
04/19,11,妖精,1,星梨花,782
04/19,11,妖精,2,杏奈,217
04/19,11,妖精,3,このみ,175
04/19,11,妖精,4,育,137
04/19,11,妖精,5,百合子,92
04/19,11,妖精,6,桃子,81
04/19,11,妖精,7,エミリー,79
04/19,11,妖精,8,環,65
04/19,11,妖精,9,ひなた,58
04/19,11,妖精,10,美也,54
04/19,12,妖精,1,星梨花,799
04/19,12,妖精,2,杏奈,223
04/19,12,妖精,3,このみ,176
04/19,12,妖精,4,育,138
04/19,12,妖精,5,百合子,93
04/19,12,妖精,6,エミリー,85
04/19,12,妖精,7,桃子,81
04/19,12,妖精,8,環,69
04/19,12,妖精,9,ひなた,58
04/19,12,妖精,10,美也,54
04/19,13,妖精,1,星梨花,829
04/19,13,妖精,2,杏奈,225
04/19,13,妖精,3,このみ,176
04/19,13,妖精,4,育,141
04/19,13,妖精,5,百合子,95
04/19,13,妖精,6,エミリー,86
04/19,13,妖精,7,桃子,83
04/19,13,妖精,8,環,69
04/19,13,妖精,9,ひなた,60
04/19,13,妖精,10,美也,54
04/19,14,妖精,1,星梨花,860
04/19,14,妖精,2,杏奈,225
04/19,14,妖精,3,このみ,179
04/19,14,妖精,4,育,141
04/19,14,妖精,5,百合子,96
04/19,14,妖精,6,エミリー,87
04/19,14,妖精,7,桃子,83
04/19,14,妖精,8,環,69
04/19,14,妖精,9,ひなた,61
04/19,14,妖精,10,美也,54
04/19,15,妖精,1,星梨花,876
04/19,15,妖精,2,杏奈,230
04/19,15,妖精,3,このみ,182
04/19,15,妖精,4,育,142
04/19,15,妖精,5,百合子,96
04/19,15,妖精,6,エミリー,87
04/19,15,妖精,7,桃子,87
04/19,15,妖精,8,環,69
04/19,15,妖精,9,ひなた,61
04/19,15,妖精,10,美也,54
04/19,16,妖精,1,星梨花,887
04/19,16,妖精,2,杏奈,230
04/19,16,妖精,3,このみ,182
04/19,16,妖精,4,育,146
04/19,16,妖精,5,百合子,96
04/19,16,妖精,6,桃子,88
04/19,16,妖精,7,エミリー,87
04/19,16,妖精,8,環,69
04/19,16,妖精,9,ひなた,61
04/19,16,妖精,10,美也,54
04/19,17,妖精,1,星梨花,898
04/19,17,妖精,2,杏奈,235
04/19,17,妖精,3,このみ,183
04/19,17,妖精,4,育,151
04/19,17,妖精,5,百合子,96
04/19,17,妖精,6,桃子,88
04/19,17,妖精,7,エミリー,88
04/19,17,妖精,8,環,70
04/19,17,妖精,9,ひなた,61
04/19,17,妖精,10,美也,54
04/19,18,妖精,1,星梨花,911
04/19,18,妖精,2,杏奈,236
04/19,18,妖精,3,このみ,185
04/19,18,妖精,4,育,155
04/19,18,妖精,5,百合子,97
04/19,18,妖精,6,桃子,88
04/19,18,妖精,7,エミリー,88
04/19,18,妖精,8,環,72
04/19,18,妖精,9,ひなた,61
04/19,18,妖精,10,美也,54
04/19,19,妖精,1,星梨花,929
04/19,19,妖精,2,杏奈,240
04/19,19,妖精,3,このみ,186
04/19,19,妖精,4,育,157
04/19,19,妖精,5,百合子,99
04/19,19,妖精,6,桃子,88
04/19,19,妖精,7,エミリー,88
04/19,19,妖精,8,環,72
04/19,19,妖精,9,ひなた,61
04/19,19,妖精,10,美也,54
04/19,20,妖精,1,星梨花,943
04/19,20,妖精,2,杏奈,241
04/19,20,妖精,3,このみ,191
04/19,20,妖精,4,育,158
04/19,20,妖精,5,百合子,101
04/19,20,妖精,6,桃子,88
04/19,20,妖精,7,エミリー,88
04/19,20,妖精,8,環,73
04/19,20,妖精,9,ひなた,61
04/19,20,妖精,10,美也,54
04/19,21,妖精,1,星梨花,965
04/19,21,妖精,2,杏奈,251
04/19,21,妖精,3,このみ,201
04/19,21,妖精,4,育,167
04/19,21,妖精,5,百合子,104
04/19,21,妖精,6,エミリー,92
04/19,21,妖精,7,桃子,88
04/19,21,妖精,8,環,74
04/19,21,妖精,9,ひなた,65
04/19,21,妖精,10,美也,59
04/19,22,妖精,1,星梨花,1006
04/19,22,妖精,2,杏奈,261
04/19,22,妖精,3,このみ,212
04/19,22,妖精,4,育,171
04/19,22,妖精,5,百合子,105
04/19,22,妖精,6,エミリー,94
04/19,22,妖精,7,桃子,92
04/19,22,妖精,8,環,74
04/19,22,妖精,9,ひなた,67
04/19,22,妖精,10,美也,65
04/19,23,妖精,1,星梨花,1044
04/19,23,妖精,2,杏奈,273
04/19,23,妖精,3,このみ,213
04/19,23,妖精,4,育,173
04/19,23,妖精,5,百合子,105
04/19,23,妖精,6,桃子,102
04/19,23,妖精,7,エミリー,95
04/19,23,妖精,8,環,74
04/19,23,妖精,9,ひなた,67
04/19,23,妖精,10,美也,65
04/20,0,妖精,1,星梨花,1066
04/20,0,妖精,2,杏奈,276
04/20,0,妖精,3,このみ,222
04/20,0,妖精,4,育,176
04/20,0,妖精,5,百合子,107
04/20,0,妖精,6,桃子,103
04/20,0,妖精,7,エミリー,99
04/20,0,妖精,8,環,74
04/20,0,妖精,9,ひなた,68
04/20,0,妖精,10,美也,65
04/20,1,妖精,1,星梨花,1192
04/20,1,妖精,2,杏奈,288
04/20,1,妖精,3,このみ,240
04/20,1,妖精,4,育,186
04/20,1,妖精,5,百合子,109
04/20,1,妖精,6,桃子,106
04/20,1,妖精,7,エミリー,102
04/20,1,妖精,8,環,83
04/20,1,妖精,9,美也,73
04/20,1,妖精,10,ひなた,71
04/20,2,妖精,1,星梨花,1233
04/20,2,妖精,2,杏奈,297
04/20,2,妖精,3,このみ,242
04/20,2,妖精,4,育,190
04/20,2,妖精,5,百合子,109
04/20,2,妖精,6,桃子,109
04/20,2,妖精,7,エミリー,103
04/20,2,妖精,8,環,85
04/20,2,妖精,9,美也,75
04/20,2,妖精,10,まつり,73
04/20,3,妖精,1,星梨花,1254
04/20,3,妖精,2,杏奈,307
04/20,3,妖精,3,このみ,243
04/20,3,妖精,4,育,194
04/20,3,妖精,5,桃子,112
04/20,3,妖精,6,百合子,109
04/20,3,妖精,7,エミリー,103
04/20,3,妖精,8,環,86
04/20,3,妖精,9,美也,75
04/20,3,妖精,10,まつり,74
04/20,4,妖精,1,星梨花,1262
04/20,4,妖精,2,杏奈,309
04/20,4,妖精,3,このみ,243
04/20,4,妖精,4,育,196
04/20,4,妖精,5,桃子,113
04/20,4,妖精,6,百合子,110
04/20,4,妖精,7,エミリー,104
04/20,4,妖精,8,環,87
04/20,4,妖精,9,美也,75
04/20,4,妖精,10,まつり,75
04/20,5,妖精,1,星梨花,1277
04/20,5,妖精,2,杏奈,309
04/20,5,妖精,3,このみ,244
04/20,5,妖精,4,育,196
04/20,5,妖精,5,桃子,114
04/20,5,妖精,6,百合子,112
04/20,5,妖精,7,エミリー,104
04/20,5,妖精,8,環,87
04/20,5,妖精,9,美也,75
04/20,5,妖精,10,まつり,75
04/20,6,妖精,1,星梨花,1286
04/20,6,妖精,2,杏奈,309
04/20,6,妖精,3,このみ,244
04/20,6,妖精,4,育,196
04/20,6,妖精,5,桃子,115
04/20,6,妖精,6,百合子,112
04/20,6,妖精,7,エミリー,104
04/20,6,妖精,8,環,87
04/20,6,妖精,9,まつり,77
04/20,6,妖精,10,ひなた,76
04/20,7,妖精,1,星梨花,1312
04/20,7,妖精,2,杏奈,313
04/20,7,妖精,3,このみ,244
04/20,7,妖精,4,育,197
04/20,7,妖精,5,桃子,115
04/20,7,妖精,6,百合子,112
04/20,7,妖精,7,エミリー,106
04/20,7,妖精,8,環,92
04/20,7,妖精,9,まつり,84
04/20,7,妖精,10,ひなた,78
04/20,8,妖精,1,星梨花,1355
04/20,8,妖精,2,杏奈,314
04/20,8,妖精,3,このみ,252
04/20,8,妖精,4,育,201
04/20,8,妖精,5,桃子,117
04/20,8,妖精,6,百合子,113
04/20,8,妖精,7,エミリー,108
04/20,8,妖精,8,環,93
04/20,8,妖精,9,まつり,84
04/20,8,妖精,10,ひなた,81
04/20,9,妖精,1,星梨花,1385
04/20,9,妖精,2,杏奈,318
04/20,9,妖精,3,このみ,255
04/20,9,妖精,4,育,204
04/20,9,妖精,5,百合子,118
04/20,9,妖精,6,桃子,118
04/20,9,妖精,7,エミリー,114
04/20,9,妖精,8,環,94
04/20,9,妖精,9,まつり,86
04/20,9,妖精,10,ひなた,81
04/20,10,妖精,1,星梨花,1430
04/20,10,妖精,2,杏奈,324
04/20,10,妖精,3,このみ,259
04/20,10,妖精,4,育,209
04/20,10,妖精,5,桃子,128
04/20,10,妖精,6,百合子,121
04/20,10,妖精,7,エミリー,115
04/20,10,妖精,8,環,96
04/20,10,妖精,9,まつり,86
04/20,10,妖精,10,ひなた,81
04/20,11,妖精,1,星梨花,1445
04/20,11,妖精,2,杏奈,327
04/20,11,妖精,3,このみ,263
04/20,11,妖精,4,育,211
04/20,11,妖精,5,桃子,129
04/20,11,妖精,6,百合子,121
04/20,11,妖精,7,エミリー,115
04/20,11,妖精,8,環,97
04/20,11,妖精,9,まつり,86
04/20,11,妖精,10,ひなた,82
04/20,12,妖精,1,星梨花,1461
04/20,12,妖精,2,杏奈,332
04/20,12,妖精,3,このみ,265
04/20,12,妖精,4,育,212
04/20,12,妖精,5,桃子,131
04/20,12,妖精,6,百合子,121
04/20,12,妖精,7,エミリー,119
04/20,12,妖精,8,環,97
04/20,12,妖精,9,まつり,86
04/20,12,妖精,10,ひなた,84
04/20,13,妖精,1,星梨花,1473
04/20,13,妖精,2,杏奈,334
04/20,13,妖精,3,このみ,266
04/20,13,妖精,4,育,216
04/20,13,妖精,5,桃子,132
04/20,13,妖精,6,百合子,121
04/20,13,妖精,7,エミリー,119
04/20,13,妖精,8,環,97
04/20,13,妖精,9,まつり,92
04/20,13,妖精,10,ひなた,84
04/20,14,妖精,1,星梨花,1495
04/20,14,妖精,2,杏奈,334
04/20,14,妖精,3,このみ,266
04/20,14,妖精,4,育,217
04/20,14,妖精,5,桃子,138
04/20,14,妖精,6,百合子,121
04/20,14,妖精,7,エミリー,119
04/20,14,妖精,8,環,97
04/20,14,妖精,9,まつり,92
04/20,14,妖精,10,ひなた,86
04/20,15,妖精,1,星梨花,1507
04/20,15,妖精,2,杏奈,339
04/20,15,妖精,3,このみ,270
04/20,15,妖精,4,育,222
04/20,15,妖精,5,桃子,138
04/20,15,妖精,6,百合子,121
04/20,15,妖精,7,エミリー,121
04/20,15,妖精,8,環,98
04/20,15,妖精,9,まつり,94
04/20,15,妖精,10,ひなた,86
04/20,16,妖精,1,星梨花,1513
04/20,16,妖精,2,杏奈,342
04/20,16,妖精,3,このみ,270
04/20,16,妖精,4,育,222
04/20,16,妖精,5,桃子,138
04/20,16,妖精,6,百合子,121
04/20,16,妖精,7,エミリー,121
04/20,16,妖精,8,環,98
04/20,16,妖精,9,まつり,94
04/20,16,妖精,10,ひなた,86
04/20,17,妖精,1,星梨花,1523
04/20,17,妖精,2,杏奈,343
04/20,17,妖精,3,このみ,271
04/20,17,妖精,4,育,223
04/20,17,妖精,5,桃子,139
04/20,17,妖精,6,百合子,121
04/20,17,妖精,7,エミリー,121
04/20,17,妖精,8,環,98
04/20,17,妖精,9,まつり,94
04/20,17,妖精,10,ひなた,87
04/20,18,妖精,1,星梨花,1533
04/20,18,妖精,2,杏奈,345
04/20,18,妖精,3,このみ,276
04/20,18,妖精,4,育,227
04/20,18,妖精,5,桃子,140
04/20,18,妖精,6,百合子,121
