日付,時間,役,順位,名前,得票数
04/19,2,子分,1,環,378
04/19,2,子分,2,未来,157
04/19,2,子分,3,茜,46
04/19,2,子分,4,亜利沙,43
04/19,2,子分,5,奈緒,38
04/19,2,子分,6,志保,32
04/19,2,子分,7,可奈,24
04/19,2,子分,8,恵美,23
04/19,2,子分,9,昴,19
04/19,2,子分,10,翼,19
04/19,3,子分,1,環,398
04/19,3,子分,2,未来,189
04/19,3,子分,3,茜,48
04/19,3,子分,4,亜利沙,44
04/19,3,子分,5,奈緒,38
04/19,3,子分,6,志保,32
04/19,3,子分,7,可奈,25
04/19,3,子分,8,恵美,23
04/19,3,子分,9,星梨花,20
04/19,3,子分,10,昴,19
04/19,4,子分,1,環,402
04/19,4,子分,2,未来,201
04/19,4,子分,3,茜,48
04/19,4,子分,4,亜利沙,46
04/19,4,子分,5,奈緒,39
04/19,4,子分,6,志保,32
04/19,4,子分,7,可奈,25
04/19,4,子分,8,恵美,23
04/19,4,子分,9,星梨花,20
04/19,4,子分,10,昴,19
04/19,5,子分,1,環,406
04/19,5,子分,2,未来,203
04/19,5,子分,3,茜,48
04/19,5,子分,4,亜利沙,46
04/19,5,子分,5,奈緒,40
04/19,5,子分,6,志保,32
04/19,5,子分,7,可奈,25
04/19,5,子分,8,恵美,23
04/19,5,子分,9,星梨花,21
04/19,5,子分,10,昴,19
04/19,6,子分,1,環,412
04/19,6,子分,2,未来,203
04/19,6,子分,3,茜,48
04/19,6,子分,4,亜利沙,47
04/19,6,子分,5,奈緒,41
04/19,6,子分,6,志保,32
04/19,6,子分,7,可奈,25
04/19,6,子分,8,恵美,24
04/19,6,子分,9,星梨花,21
04/19,6,子分,10,翼,20
04/19,7,子分,1,環,439
04/19,7,子分,2,未来,205
04/19,7,子分,3,茜,51
04/19,7,子分,4,亜利沙,51
04/19,7,子分,5,奈緒,43
04/19,7,子分,6,志保,33
04/19,7,子分,7,可奈,26
04/19,7,子分,8,恵美,25
04/19,7,子分,9,星梨花,22
04/19,7,子分,10,翼,21
04/19,8,子分,1,環,468
04/19,8,子分,2,未来,226
04/19,8,子分,3,亜利沙,59
04/19,8,子分,4,茜,52
04/19,8,子分,5,奈緒,43
04/19,8,子分,6,志保,34
04/19,8,子分,7,可奈,27
04/19,8,子分,8,恵美,26
04/19,8,子分,9,星梨花,22
04/19,8,子分,10,翼,21
04/19,9,子分,1,環,490
04/19,9,子分,2,未来,229
04/19,9,子分,3,亜利沙,61
04/19,9,子分,4,茜,54
04/19,9,子分,5,奈緒,45
04/19,9,子分,6,志保,34
04/19,9,子分,7,可奈,27
04/19,9,子分,8,恵美,26
04/19,9,子分,9,星梨花,24
04/19,9,子分,10,翼,23
04/19,10,子分,1,環,502
04/19,10,子分,2,未来,234
04/19,10,子分,3,亜利沙,61
04/19,10,子分,4,茜,55
04/19,10,子分,5,奈緒,48
04/19,10,子分,6,志保,34
04/19,10,子分,7,可奈,31
04/19,10,子分,8,恵美,26
04/19,10,子分,9,星梨花,25
04/19,10,子分,10,翼,24
