日付,時間,役,順位,名前,得票数
04/19,2,悪徳組長,1,まつり,554
04/19,2,悪徳組長,2,ひなた,516
04/19,2,悪徳組長,3,風花,134
04/19,2,悪徳組長,4,奈緒,123
04/19,2,悪徳組長,5,杏奈,51
04/19,2,悪徳組長,6,このみ,48
04/19,2,悪徳組長,7,朋花,46
04/19,2,悪徳組長,8,志保,44
04/19,2,悪徳組長,9,亜利沙,31
04/19,2,悪徳組長,10,星梨花,30
04/19,3,悪徳組長,1,まつり,589
04/19,3,悪徳組長,2,ひなた,544
04/19,3,悪徳組長,3,風花,136
04/19,3,悪徳組長,4,奈緒,126
04/19,3,悪徳組長,5,杏奈,52
04/19,3,悪徳組長,6,このみ,50
04/19,3,悪徳組長,7,朋花,48
04/19,3,悪徳組長,8,志保,44
04/19,3,悪徳組長,9,亜利沙,31
04/19,3,悪徳組長,10,星梨花,30
04/19,4,悪徳組長,1,まつり,595
04/19,4,悪徳組長,2,ひなた,558
04/19,4,悪徳組長,3,風花,143
04/19,4,悪徳組長,4,奈緒,127
04/19,4,悪徳組長,5,杏奈,52
04/19,4,悪徳組長,6,このみ,52
04/19,4,悪徳組長,7,朋花,52
04/19,4,悪徳組長,8,志保,45
04/19,4,悪徳組長,9,亜利沙,31
04/19,4,悪徳組長,10,星梨花,30
04/19,5,悪徳組長,1,まつり,605
04/19,5,悪徳組長,2,ひなた,565
04/19,5,悪徳組長,3,風花,143
04/19,5,悪徳組長,4,奈緒,127
04/19,5,悪徳組長,5,杏奈,52
04/19,5,悪徳組長,6,このみ,52
04/19,5,悪徳組長,7,朋花,52
04/19,5,悪徳組長,8,志保,45
04/19,5,悪徳組長,9,亜利沙,31
04/19,5,悪徳組長,10,星梨花,30
04/19,6,悪徳組長,1,まつり,613
04/19,6,悪徳組長,2,ひなた,585
04/19,6,悪徳組長,3,風花,149
04/19,6,悪徳組長,4,奈緒,128
04/19,6,悪徳組長,5,朋花,53
04/19,6,悪徳組長,6,このみ,53
04/19,6,悪徳組長,7,杏奈,52
04/19,6,悪徳組長,8,志保,45
04/19,6,悪徳組長,9,亜利沙,31
04/19,6,悪徳組長,10,星梨花,30
04/19,7,悪徳組長,1,まつり,638
04/19,7,悪徳組長,2,ひなた,605
04/19,7,悪徳組長,3,風花,150
04/19,7,悪徳組長,4,奈緒,129
04/19,7,悪徳組長,5,朋花,60
04/19,7,悪徳組長,6,このみ,55
04/19,7,悪徳組長,7,杏奈,53
04/19,7,悪徳組長,8,志保,48
