日付,時間,役,順位,名前,得票数
04/19,2,普通の子,1,琴葉,551
04/19,2,普通の子,2,美奈子,101
04/19,2,普通の子,3,可奈,93
04/19,2,普通の子,4,未来,85
04/19,2,普通の子,5,ひなた,69
04/19,2,普通の子,6,紗代子,57
04/19,2,普通の子,7,百合子,45
04/19,2,普通の子,8,恵美,29
04/19,2,普通の子,9,星梨花,24
04/19,2,普通の子,10,杏奈,23
04/19,3,普通の子,1,琴葉,562
04/19,3,普通の子,2,可奈,109
04/19,3,普通の子,3,美奈子,101
04/19,3,普通の子,4,未来,88
04/19,3,普通の子,5,ひなた,69
04/19,3,普通の子,6,紗代子,58
04/19,3,普通の子,7,百合子,45
04/19,3,普通の子,8,恵美,31
04/19,3,普通の子,9,星梨花,25
04/19,3,普通の子,10,杏奈,24
04/19,4,普通の子,1,琴葉,573
04/19,4,普通の子,2,可奈,120
04/19,4,普通の子,3,美奈子,101
04/19,4,普通の子,4,未来,89
04/19,4,普通の子,5,ひなた,69
04/19,4,普通の子,6,紗代子,58
04/19,4,普通の子,7,百合子,45
04/19,4,普通の子,8,恵美,34
04/19,4,普通の子,9,星梨花,25
04/19,4,普通の子,10,杏奈,24
04/19,5,普通の子,1,琴葉,578
04/19,5,普通の子,2,可奈,122
04/19,5,普通の子,3,美奈子,101
04/19,5,普通の子,4,未来,89
04/19,5,普通の子,5,ひなた,69
04/19,5,普通の子,6,紗代子,59
04/19,5,普通の子,7,百合子,45
04/19,5,普通の子,8,恵美,34
04/19,5,普通の子,9,星梨花,25
04/19,5,普通の子,10,杏奈,24
04/19,6,普通の子,1,琴葉,590
04/19,6,普通の子,2,可奈,122
04/19,6,普通の子,3,美奈子,102
04/19,6,普通の子,4,未来,91
04/19,6,普通の子,5,ひなた,70
04/19,6,普通の子,6,紗代子,60
04/19,6,普通の子,7,百合子,45
04/19,6,普通の子,8,恵美,34
04/19,6,普通の子,9,星梨花,25
04/19,6,普通の子,10,杏奈,24
04/19,7,普通の子,1,琴葉,606
04/19,7,普通の子,2,可奈,126
04/19,7,普通の子,3,美奈子,103
04/19,7,普通の子,4,未来,93
04/19,7,普通の子,5,ひなた,72
04/19,7,普通の子,6,紗代子,60
04/19,7,普通の子,7,百合子,45
04/19,7,普通の子,8,恵美,37
04/19,7,普通の子,9,星梨花,25
04/19,7,普通の子,10,杏奈,24
04/19,8,普通の子,1,琴葉,633
04/19,8,普通の子,2,可奈,136
04/19,8,普通の子,3,美奈子,105
04/19,8,普通の子,4,未来,100
04/19,8,普通の子,5,ひなた,75
04/19,8,普通の子,6,紗代子,61
04/19,8,普通の子,7,百合子,49
04/19,8,普通の子,8,恵美,37
04/19,8,普通の子,9,星梨花,27
04/19,8,普通の子,10,杏奈,26
04/19,9,普通の子,1,琴葉,656
04/19,9,普通の子,2,可奈,139
04/19,9,普通の子,3,美奈子,105
04/19,9,普通の子,4,未来,103
04/19,9,普通の子,5,ひなた,75
04/19,9,普通の子,6,紗代子,62
04/19,9,普通の子,7,百合子,49
04/19,9,普通の子,8,恵美,38
04/19,9,普通の子,9,星梨花,27
04/19,9,普通の子,10,杏奈,27
04/19,10,普通の子,1,琴葉,668
04/19,10,普通の子,2,可奈,143
04/19,10,普通の子,3,美奈子,110
04/19,10,普通の子,4,未来,107
04/19,10,普通の子,5,ひなた,75
04/19,10,普通の子,6,紗代子,64
04/19,10,普通の子,7,百合子,49
04/19,10,普通の子,8,恵美,40
04/19,10,普通の子,9,星梨花,31
04/19,10,普通の子,10,杏奈,28
04/19,11,普通の子,1,琴葉,689
04/19,11,普通の子,2,可奈,145
04/19,11,普通の子,3,美奈子,114
04/19,11,普通の子,4,未来,110
04/19,11,普通の子,5,ひなた,75
04/19,11,普通の子,6,紗代子,65
04/19,11,普通の子,7,百合子,49
04/19,11,普通の子,8,恵美,40
04/19,11,普通の子,9,星梨花,32
04/19,11,普通の子,10,杏奈,28
04/19,12,普通の子,1,琴葉,710
04/19,12,普通の子,2,可奈,148
04/19,12,普通の子,3,美奈子,116
04/19,12,普通の子,4,未来,116
04/19,12,普通の子,5,ひなた,75
04/19,12,普通の子,6,紗代子,69
04/19,12,普通の子,7,百合子,49
04/19,12,普通の子,8,恵美,40
04/19,12,普通の子,9,星梨花,32
04/19,12,普通の子,10,杏奈,28
04/19,13,普通の子,1,琴葉,724
04/19,13,普通の子,2,可奈,180
04/19,13,普通の子,3,未来,120
04/19,13,普通の子,4,美奈子,116
04/19,13,普通の子,5,ひなた,75
04/19,13,普通の子,6,紗代子,69
04/19,13,普通の子,7,百合子,49
04/19,13,普通の子,8,恵美,40
04/19,13,普通の子,9,星梨花,32
04/19,13,普通の子,10,杏奈,28
04/19,14,普通の子,1,琴葉,743
04/19,14,普通の子,2,可奈,185
04/19,14,普通の子,3,未来,124
04/19,14,普通の子,4,美奈子,116
04/19,14,普通の子,5,ひなた,76
04/19,14,普通の子,6,紗代子,69
04/19,14,普通の子,7,百合子,49
04/19,14,普通の子,8,恵美,40
04/19,14,普通の子,9,星梨花,33
04/19,14,普通の子,10,杏奈,29
04/19,15,普通の子,1,琴葉,758
04/19,15,普通の子,2,可奈,203
04/19,15,普通の子,3,未来,127
04/19,15,普通の子,4,美奈子,116
04/19,15,普通の子,5,ひなた,76
04/19,15,普通の子,6,紗代子,71
04/19,15,普通の子,7,百合子,49
04/19,15,普通の子,8,恵美,41
04/19,15,普通の子,9,星梨花,33
04/19,15,普通の子,10,杏奈,29
04/19,16,普通の子,1,琴葉,772
04/19,16,普通の子,2,可奈,222
04/19,16,普通の子,3,未来,130
04/19,16,普通の子,4,美奈子,117
04/19,16,普通の子,5,ひなた,76
04/19,16,普通の子,6,紗代子,71
04/19,16,普通の子,7,百合子,49
04/19,16,普通の子,8,恵美,41
04/19,16,普通の子,9,星梨花,33
04/19,16,普通の子,10,杏奈,31
04/19,17,普通の子,1,琴葉,789
04/19,17,普通の子,2,可奈,226
04/19,17,普通の子,3,未来,130
04/19,17,普通の子,4,美奈子,118
04/19,17,普通の子,5,ひなた,76
04/19,17,普通の子,6,紗代子,71
04/19,17,普通の子,7,百合子,50
04/19,17,普通の子,8,恵美,46
04/19,17,普通の子,9,星梨花,33
04/19,17,普通の子,10,杏奈,32
04/19,18,普通の子,1,琴葉,799
04/19,18,普通の子,2,可奈,234
04/19,18,普通の子,3,未来,133
04/19,18,普通の子,4,美奈子,118
04/19,18,普通の子,5,ひなた,76
04/19,18,普通の子,6,紗代子,75
04/19,18,普通の子,7,百合子,50
04/19,18,普通の子,8,恵美,46
04/19,18,普通の子,9,星梨花,33
04/19,18,普通の子,10,杏奈,32
04/19,19,普通の子,1,琴葉,818
04/19,19,普通の子,2,可奈,239
04/19,19,普通の子,3,未来,136
04/19,19,普通の子,4,美奈子,118
04/19,19,普通の子,5,ひなた,76
04/19,19,普通の子,6,紗代子,76
04/19,19,普通の子,7,百合子,50
04/19,19,普通の子,8,恵美,46
04/19,19,普通の子,9,星梨花,33
04/19,19,普通の子,10,杏奈,32
04/19,20,普通の子,1,琴葉,835
04/19,20,普通の子,2,可奈,252
04/19,20,普通の子,3,未来,137
04/19,20,普通の子,4,美奈子,118
04/19,20,普通の子,5,紗代子,79
04/19,20,普通の子,6,ひなた,76
04/19,20,普通の子,7,百合子,50
04/19,20,普通の子,8,恵美,46
04/19,20,普通の子,9,星梨花,33
04/19,20,普通の子,10,杏奈,33
04/19,21,普通の子,1,琴葉,871
04/19,21,普通の子,2,可奈,270
04/19,21,普通の子,3,未来,146
04/19,21,普通の子,4,美奈子,120
04/19,21,普通の子,5,紗代子,85
04/19,21,普通の子,6,ひなた,76
04/19,21,普通の子,7,百合子,52
04/19,21,普通の子,8,恵美,46
04/19,21,普通の子,9,杏奈,34
04/19,21,普通の子,10,星梨花,33
04/19,22,普通の子,1,琴葉,906
04/19,22,普通の子,2,可奈,284
04/19,22,普通の子,3,未来,155
04/19,22,普通の子,4,美奈子,121
04/19,22,普通の子,5,紗代子,95
04/19,22,普通の子,6,ひなた,78
04/19,22,普通の子,7,百合子,52
04/19,22,普通の子,8,恵美,48
04/19,22,普通の子,9,杏奈,34
04/19,22,普通の子,10,星梨花,33
04/19,23,普通の子,1,琴葉,935
04/19,23,普通の子,2,可奈,296
04/19,23,普通の子,3,未来,160
04/19,23,普通の子,4,美奈子,121
04/19,23,普通の子,5,紗代子,97
04/19,23,普通の子,6,ひなた,83
04/19,23,普通の子,7,百合子,54
04/19,23,普通の子,8,恵美,48
04/19,23,普通の子,9,杏奈,34
04/19,23,普通の子,10,星梨花,33
04/20,0,普通の子,1,琴葉,973
04/20,0,普通の子,2,可奈,314
04/20,0,普通の子,3,未来,168
04/20,0,普通の子,4,美奈子,123
04/20,0,普通の子,5,紗代子,102
04/20,0,普通の子,6,ひなた,85
04/20,0,普通の子,7,百合子,56
04/20,0,普通の子,8,恵美,48
04/20,0,普通の子,9,杏奈,34
04/20,0,普通の子,10,星梨花,33
04/20,1,普通の子,1,琴葉,1145
04/20,1,普通の子,2,可奈,388
04/20,1,普通の子,3,未来,184
04/20,1,普通の子,4,美奈子,137
04/20,1,普通の子,5,紗代子,110
04/20,1,普通の子,6,ひなた,87
04/20,1,普通の子,7,百合子,62
04/20,1,普通の子,8,恵美,50
04/20,1,普通の子,9,杏奈,39
04/20,1,普通の子,10,志保,38
04/20,2,普通の子,1,琴葉,1192
04/20,2,普通の子,2,可奈,411
04/20,2,普通の子,3,未来,195
04/20,2,普通の子,4,美奈子,138
04/20,2,普通の子,5,紗代子,113
04/20,2,普通の子,6,ひなた,88
04/20,2,普通の子,7,百合子,67
04/20,2,普通の子,8,恵美,50
04/20,2,普通の子,9,杏奈,40
04/20,2,普通の子,10,志保,39
04/20,3,普通の子,1,琴葉,1209
04/20,3,普通の子,2,可奈,418
04/20,3,普通の子,3,未来,196
04/20,3,普通の子,4,美奈子,142
04/20,3,普通の子,5,紗代子,114
04/20,3,普通の子,6,ひなた,88
04/20,3,普通の子,7,百合子,67
04/20,3,普通の子,8,恵美,50
04/20,3,普通の子,9,杏奈,40
04/20,3,普通の子,10,志保,39
04/20,4,普通の子,1,琴葉,1215
04/20,4,普通の子,2,可奈,418
04/20,4,普通の子,3,未来,198
04/20,4,普通の子,4,美奈子,142
04/20,4,普通の子,5,紗代子,115
04/20,4,普通の子,6,ひなた,88
04/20,4,普通の子,7,百合子,69
04/20,4,普通の子,8,恵美,50
04/20,4,普通の子,9,杏奈,40
04/20,4,普通の子,10,志保,39
04/20,5,普通の子,1,琴葉,1216
04/20,5,普通の子,2,可奈,418
04/20,5,普通の子,3,未来,199
04/20,5,普通の子,4,美奈子,143
04/20,5,普通の子,5,紗代子,115
04/20,5,普通の子,6,ひなた,88
04/20,5,普通の子,7,百合子,69
04/20,5,普通の子,8,恵美,50
04/20,5,普通の子,9,杏奈,40
04/20,5,普通の子,10,志保,39
04/20,6,普通の子,1,琴葉,1238
04/20,6,普通の子,2,可奈,431
04/20,6,普通の子,3,未来,199
04/20,6,普通の子,4,美奈子,143
04/20,6,普通の子,5,紗代子,115
04/20,6,普通の子,6,ひなた,88
04/20,6,普通の子,7,百合子,69
04/20,6,普通の子,8,恵美,50
04/20,6,普通の子,9,杏奈,40
04/20,6,普通の子,10,志保,39
04/20,7,普通の子,1,琴葉,1255
04/20,7,普通の子,2,可奈,439
04/20,7,普通の子,3,未来,204
04/20,7,普通の子,4,美奈子,144
04/20,7,普通の子,5,紗代子,119
04/20,7,普通の子,6,ひなた,89
04/20,7,普通の子,7,百合子,72
04/20,7,普通の子,8,恵美,56
04/20,7,普通の子,9,杏奈,41
04/20,7,普通の子,10,星梨花,40
04/20,8,普通の子,1,琴葉,1284
04/20,8,普通の子,2,可奈,451
04/20,8,普通の子,3,未来,207
04/20,8,普通の子,4,美奈子,148
04/20,8,普通の子,5,紗代子,121
04/20,8,普通の子,6,ひなた,90
04/20,8,普通の子,7,百合子,73
04/20,8,普通の子,8,恵美,56
04/20,8,普通の子,9,杏奈,48
04/20,8,普通の子,10,星梨花,41
04/20,9,普通の子,1,琴葉,1316
04/20,9,普通の子,2,可奈,468
04/20,9,普通の子,3,未来,208
04/20,9,普通の子,4,美奈子,149
04/20,9,普通の子,5,紗代子,123
04/20,9,普通の子,6,ひなた,90
04/20,9,普通の子,7,百合子,73
04/20,9,普通の子,8,恵美,56
04/20,9,普通の子,9,杏奈,51
04/20,9,普通の子,10,星梨花,42
04/20,10,普通の子,1,琴葉,1335
04/20,10,普通の子,2,可奈,471
04/20,10,普通の子,3,未来,213
04/20,10,普通の子,4,美奈子,151
04/20,10,普通の子,5,紗代子,124
04/20,10,普通の子,6,ひなた,92
04/20,10,普通の子,7,百合子,73
04/20,10,普通の子,8,恵美,56
04/20,10,普通の子,9,杏奈,51
04/20,10,普通の子,10,星梨花,42
04/20,11,普通の子,1,琴葉,1361
04/20,11,普通の子,2,可奈,484
04/20,11,普通の子,3,未来,216
04/20,11,普通の子,4,美奈子,152
04/20,11,普通の子,5,紗代子,125
04/20,11,普通の子,6,ひなた,96
04/20,11,普通の子,7,百合子,73
04/20,11,普通の子,8,恵美,56
04/20,11,普通の子,9,杏奈,52
04/20,11,普通の子,10,星梨花,45
04/20,12,普通の子,1,琴葉,1372
04/20,12,普通の子,2,可奈,488
04/20,12,普通の子,3,未来,220
04/20,12,普通の子,4,美奈子,152
04/20,12,普通の子,5,紗代子,125
04/20,12,普通の子,6,ひなた,97
04/20,12,普通の子,7,百合子,73
04/20,12,普通の子,8,恵美,56
04/20,12,普通の子,9,杏奈,52
04/20,12,普通の子,10,星梨花,45
04/20,13,普通の子,1,琴葉,1383
04/20,13,普通の子,2,可奈,497
04/20,13,普通の子,3,未来,222
04/20,13,普通の子,4,美奈子,152
04/20,13,普通の子,5,紗代子,127
04/20,13,普通の子,6,ひなた,97
04/20,13,普通の子,7,百合子,73
04/20,13,普通の子,8,恵美,56
04/20,13,普通の子,9,杏奈,52
04/20,13,普通の子,10,星梨花,45
04/20,14,普通の子,1,琴葉,1397
04/20,14,普通の子,2,可奈,499
04/20,14,普通の子,3,未来,226
04/20,14,普通の子,4,美奈子,154
04/20,14,普通の子,5,紗代子,127
04/20,14,普通の子,6,ひなた,97
04/20,14,普通の子,7,百合子,73
04/20,14,普通の子,8,恵美,56
04/20,14,普通の子,9,杏奈,52
04/20,14,普通の子,10,星梨花,45
04/20,15,普通の子,1,琴葉,1402
04/20,15,普通の子,2,可奈,501
04/20,15,普通の子,3,未来,227
04/20,15,普通の子,4,美奈子,154
04/20,15,普通の子,5,紗代子,127
04/20,15,普通の子,6,ひなた,97
04/20,15,普通の子,7,百合子,73
04/20,15,普通の子,8,恵美,56
04/20,15,普通の子,9,杏奈,52
04/20,15,普通の子,10,星梨花,45
04/20,16,普通の子,1,琴葉,1415
04/20,16,普通の子,2,可奈,501
04/20,16,普通の子,3,未来,228
04/20,16,普通の子,4,美奈子,154
04/20,16,普通の子,5,紗代子,128
04/20,16,普通の子,6,ひなた,97
04/20,16,普通の子,7,百合子,73
04/20,16,普通の子,8,恵美,56
04/20,16,普通の子,9,杏奈,52
04/20,16,普通の子,10,星梨花,46
04/20,17,普通の子,1,琴葉,1426
04/20,17,普通の子,2,可奈,501
04/20,17,普通の子,3,未来,229
04/20,17,普通の子,4,美奈子,155
04/20,17,普通の子,5,紗代子,129
04/20,17,普通の子,6,ひなた,97
04/20,17,普通の子,7,百合子,73
04/20,17,普通の子,8,恵美,56
04/20,17,普通の子,9,杏奈,52
04/20,17,普通の子,10,星梨花,46
04/20,18,普通の子,1,琴葉,1430
04/20,18,普通の子,2,可奈,504
04/20,18,普通の子,3,未来,231
04/20,18,普通の子,4,美奈子,158
04/20,18,普通の子,5,紗代子,131
04/20,18,普通の子,6,ひなた,97
