日付,時間,役,順位,名前,得票数
04/19,2,村人A,1,ロコ,658
04/19,2,村人A,2,茜,53
04/19,2,村人A,3,ひなた,32
04/19,2,村人A,4,亜利沙,25
04/19,2,村人A,5,千鶴,22
04/19,2,村人A,6,未来,18
04/19,2,村人A,7,瑞希,16
04/19,2,村人A,8,美奈子,14
04/19,2,村人A,9,麗花,13
04/19,2,村人A,10,可奈,13
04/19,3,村人A,1,ロコ,684
04/19,3,村人A,2,茜,53
04/19,3,村人A,3,ひなた,32
04/19,3,村人A,4,亜利沙,25
04/19,3,村人A,5,千鶴,22
04/19,3,村人A,6,未来,18
04/19,3,村人A,7,瑞希,16
04/19,3,村人A,8,美奈子,14
04/19,3,村人A,9,可奈,14
04/19,3,村人A,10,麗花,13
04/19,4,村人A,1,ロコ,695
04/19,4,村人A,2,茜,54
04/19,4,村人A,3,ひなた,35
04/19,4,村人A,4,亜利沙,25
04/19,4,村人A,5,千鶴,22
04/19,4,村人A,6,未来,18
04/19,4,村人A,7,瑞希,16
04/19,4,村人A,8,美奈子,15
04/19,4,村人A,9,可奈,14
04/19,4,村人A,10,麗花,13
04/19,5,村人A,1,ロコ,702
04/19,5,村人A,2,茜,54
04/19,5,村人A,3,ひなた,35
04/19,5,村人A,4,亜利沙,25
04/19,5,村人A,5,千鶴,22
04/19,5,村人A,6,未来,18
04/19,5,村人A,7,瑞希,16
04/19,5,村人A,8,美奈子,15
04/19,5,村人A,9,可奈,14
04/19,5,村人A,10,麗花,13
04/19,6,村人A,1,ロコ,710
04/19,6,村人A,2,茜,54
04/19,6,村人A,3,ひなた,35
04/19,6,村人A,4,亜利沙,25
04/19,6,村人A,5,千鶴,22
04/19,6,村人A,6,未来,18
04/19,6,村人A,7,瑞希,16
04/19,6,村人A,8,美奈子,15
04/19,6,村人A,9,可奈,14
04/19,6,村人A,10,麗花,13
04/19,7,村人A,1,ロコ,745
04/19,7,村人A,2,茜,54
04/19,7,村人A,3,ひなた,37
04/19,7,村人A,4,亜利沙,25
04/19,7,村人A,5,千鶴,22
04/19,7,村人A,6,未来,18
04/19,7,村人A,7,瑞希,16
04/19,7,村人A,8,可奈,16
04/19,7,村人A,9,美奈子,15
04/19,7,村人A,10,麗花,13
04/19,8,村人A,1,ロコ,768
04/19,8,村人A,2,茜,54
04/19,8,村人A,3,ひなた,39
04/19,8,村人A,4,亜利沙,25
04/19,8,村人A,5,千鶴,22
04/19,8,村人A,6,未来,19
04/19,8,村人A,7,可奈,18
04/19,8,村人A,8,瑞希,18
04/19,8,村人A,9,美奈子,16
04/19,8,村人A,10,麗花,13
04/19,9,村人A,1,ロコ,789
04/19,9,村人A,2,茜,54
04/19,9,村人A,3,ひなた,40
04/19,9,村人A,4,亜利沙,26
04/19,9,村人A,5,千鶴,23
04/19,9,村人A,6,未来,22
04/19,9,村人A,7,可奈,18
04/19,9,村人A,8,瑞希,18
04/19,9,村人A,9,美奈子,16
04/19,9,村人A,10,麗花,13
04/19,10,村人A,1,ロコ,802
04/19,10,村人A,2,茜,54
04/19,10,村人A,3,ひなた,41
04/19,10,村人A,4,亜利沙,26
04/19,10,村人A,5,千鶴,23
04/19,10,村人A,6,未来,22
04/19,10,村人A,7,可奈,18
04/19,10,村人A,8,瑞希,18
04/19,10,村人A,9,美奈子,17
04/19,10,村人A,10,麗花,13
04/19,11,村人A,1,ロコ,823
04/19,11,村人A,2,茜,56
04/19,11,村人A,3,ひなた,43
04/19,11,村人A,4,亜利沙,26
04/19,11,村人A,5,千鶴,23
04/19,11,村人A,6,未来,23
04/19,11,村人A,7,可奈,18
04/19,11,村人A,8,瑞希,18
04/19,11,村人A,9,美奈子,17
04/19,11,村人A,10,麗花,13
04/19,12,村人A,1,ロコ,842
04/19,12,村人A,2,茜,57
04/19,12,村人A,3,ひなた,44
04/19,12,村人A,4,亜利沙,26
04/19,12,村人A,5,未来,24
04/19,12,村人A,6,千鶴,23
04/19,12,村人A,7,可奈,19
04/19,12,村人A,8,瑞希,18
04/19,12,村人A,9,美奈子,17
04/19,12,村人A,10,麗花,13
04/19,13,村人A,1,ロコ,868
04/19,13,村人A,2,茜,58
04/19,13,村人A,3,ひなた,45
04/19,13,村人A,4,亜利沙,26
04/19,13,村人A,5,未来,24
04/19,13,村人A,6,千鶴,24
04/19,13,村人A,7,可奈,19
04/19,13,村人A,8,美奈子,19
04/19,13,村人A,9,瑞希,18
04/19,13,村人A,10,麗花,13
04/19,14,村人A,1,ロコ,878
04/19,14,村人A,2,茜,58
04/19,14,村人A,3,ひなた,46
04/19,14,村人A,4,亜利沙,26
04/19,14,村人A,5,未来,26
04/19,14,村人A,6,千鶴,24
04/19,14,村人A,7,可奈,19
04/19,14,村人A,8,美奈子,19
04/19,14,村人A,9,瑞希,19
04/19,14,村人A,10,麗花,14
04/19,15,村人A,1,ロコ,889
04/19,15,村人A,2,茜,58
04/19,15,村人A,3,ひなた,46
04/19,15,村人A,4,亜利沙,26
04/19,15,村人A,5,未来,26
04/19,15,村人A,6,千鶴,24
04/19,15,村人A,7,可奈,19
04/19,15,村人A,8,美奈子,19
04/19,15,村人A,9,瑞希,19
04/19,15,村人A,10,麗花,14
04/19,16,村人A,1,ロコ,908
04/19,16,村人A,2,茜,58
04/19,16,村人A,3,ひなた,47
04/19,16,村人A,4,亜利沙,26
04/19,16,村人A,5,未来,26
04/19,16,村人A,6,千鶴,24
04/19,16,村人A,7,可奈,19
04/19,16,村人A,8,美奈子,19
04/19,16,村人A,9,瑞希,19
04/19,16,村人A,10,麗花,14
04/19,17,村人A,1,ロコ,910
04/19,17,村人A,2,茜,58
04/19,17,村人A,3,ひなた,48
04/19,17,村人A,4,亜利沙,26
04/19,17,村人A,5,未来,26
04/19,17,村人A,6,千鶴,24
04/19,17,村人A,7,美奈子,20
04/19,17,村人A,8,可奈,19
04/19,17,村人A,9,瑞希,19
04/19,17,村人A,10,麗花,14
04/19,18,村人A,1,ロコ,919
04/19,18,村人A,2,茜,59
04/19,18,村人A,3,ひなた,48
04/19,18,村人A,4,亜利沙,26
04/19,18,村人A,5,未来,26
04/19,18,村人A,6,千鶴,24
04/19,18,村人A,7,美奈子,20
04/19,18,村人A,8,可奈,20
04/19,18,村人A,9,瑞希,19
04/19,18,村人A,10,麗花,15
04/19,19,村人A,1,ロコ,936
04/19,19,村人A,2,茜,60
04/19,19,村人A,3,ひなた,48
04/19,19,村人A,4,未来,27
04/19,19,村人A,5,亜利沙,26
04/19,19,村人A,6,千鶴,24
04/19,19,村人A,7,美奈子,20
04/19,19,村人A,8,可奈,20
04/19,19,村人A,9,瑞希,19
04/19,19,村人A,10,麗花,16
04/19,20,村人A,1,ロコ,951
04/19,20,村人A,2,茜,62
04/19,20,村人A,3,ひなた,50
04/19,20,村人A,4,未来,27
04/19,20,村人A,5,亜利沙,26
04/19,20,村人A,6,千鶴,25
04/19,20,村人A,7,美奈子,22
04/19,20,村人A,8,可奈,20
04/19,20,村人A,9,瑞希,19
04/19,20,村人A,10,麗花,16
04/19,21,村人A,1,ロコ,960
04/19,21,村人A,2,茜,62
04/19,21,村人A,3,ひなた,51
04/19,21,村人A,4,未来,27
04/19,21,村人A,5,亜利沙,27
04/19,21,村人A,6,千鶴,25
04/19,21,村人A,7,美奈子,22
04/19,21,村人A,8,可奈,20
04/19,21,村人A,9,瑞希,19
04/19,21,村人A,10,麗花,16
04/19,22,村人A,1,ロコ,979
04/19,22,村人A,2,茜,63
04/19,22,村人A,3,ひなた,52
04/19,22,村人A,4,亜利沙,29
04/19,22,村人A,5,未来,27
04/19,22,村人A,6,千鶴,25
04/19,22,村人A,7,美奈子,22
04/19,22,村人A,8,可奈,20
04/19,22,村人A,9,瑞希,19
04/19,22,村人A,10,麗花,16
04/19,23,村人A,1,ロコ,1001
04/19,23,村人A,2,茜,63
04/19,23,村人A,3,ひなた,54
04/19,23,村人A,4,亜利沙,29
04/19,23,村人A,5,未来,27
04/19,23,村人A,6,千鶴,25
04/19,23,村人A,7,美奈子,25
04/19,23,村人A,8,可奈,22
04/19,23,村人A,9,瑞希,19
04/19,23,村人A,10,麗花,16
04/20,0,村人A,1,ロコ,1024
04/20,0,村人A,2,茜,63
04/20,0,村人A,3,ひなた,56
04/20,0,村人A,4,亜利沙,30
04/20,0,村人A,5,未来,27
04/20,0,村人A,6,美奈子,27
04/20,0,村人A,7,千鶴,26
04/20,0,村人A,8,可奈,24
04/20,0,村人A,9,瑞希,19
04/20,0,村人A,10,麗花,16
04/20,1,村人A,1,ロコ,1225
04/20,1,村人A,2,茜,72
04/20,1,村人A,3,ひなた,59
04/20,1,村人A,4,亜利沙,36
04/20,1,村人A,5,未来,29
04/20,1,村人A,6,美奈子,29
04/20,1,村人A,7,千鶴,29
04/20,1,村人A,8,可奈,26
04/20,1,村人A,9,瑞希,19
04/20,1,村人A,10,麗花,17
04/20,2,村人A,1,ロコ,1282
04/20,2,村人A,2,茜,73
04/20,2,村人A,3,ひなた,61
04/20,2,村人A,4,亜利沙,37
04/20,2,村人A,5,千鶴,31
04/20,2,村人A,6,未来,29
04/20,2,村人A,7,美奈子,29
04/20,2,村人A,8,可奈,27
04/20,2,村人A,9,瑞希,19
04/20,2,村人A,10,麗花,17
04/20,3,村人A,1,ロコ,1304
04/20,3,村人A,2,茜,74
04/20,3,村人A,3,ひなた,62
04/20,3,村人A,4,亜利沙,37
04/20,3,村人A,5,千鶴,31
04/20,3,村人A,6,未来,30
04/20,3,村人A,7,美奈子,30
04/20,3,村人A,8,可奈,27
04/20,3,村人A,9,瑞希,21
04/20,3,村人A,10,志保,19
04/20,4,村人A,1,ロコ,1325
04/20,4,村人A,2,茜,74
04/20,4,村人A,3,ひなた,64
04/20,4,村人A,4,亜利沙,37
04/20,4,村人A,5,千鶴,32
04/20,4,村人A,6,未来,30
04/20,4,村人A,7,美奈子,30
04/20,4,村人A,8,可奈,27
04/20,4,村人A,9,瑞希,21
04/20,4,村人A,10,志保,19
04/20,5,村人A,1,ロコ,1329
04/20,5,村人A,2,茜,74
04/20,5,村人A,3,ひなた,64
04/20,5,村人A,4,亜利沙,37
04/20,5,村人A,5,千鶴,32
04/20,5,村人A,6,未来,30
04/20,5,村人A,7,美奈子,30
04/20,5,村人A,8,可奈,27
04/20,5,村人A,9,瑞希,21
04/20,5,村人A,10,志保,19
04/20,6,村人A,1,ロコ,1341
04/20,6,村人A,2,茜,74
04/20,6,村人A,3,ひなた,65
04/20,6,村人A,4,亜利沙,37
04/20,6,村人A,5,千鶴,32
04/20,6,村人A,6,未来,30
04/20,6,村人A,7,美奈子,30
04/20,6,村人A,8,可奈,27
04/20,6,村人A,9,瑞希,21
04/20,6,村人A,10,志保,19
04/20,7,村人A,1,ロコ,1370
04/20,7,村人A,2,茜,75
04/20,7,村人A,3,ひなた,67
04/20,7,村人A,4,亜利沙,37
04/20,7,村人A,5,千鶴,33
04/20,7,村人A,6,美奈子,33
04/20,7,村人A,7,未来,30
04/20,7,村人A,8,可奈,27
04/20,7,村人A,9,瑞希,23
04/20,7,村人A,10,志保,19
04/20,8,村人A,1,ロコ,1398
04/20,8,村人A,2,茜,75
04/20,8,村人A,3,ひなた,71
04/20,8,村人A,4,亜利沙,37
04/20,8,村人A,5,美奈子,35
04/20,8,村人A,6,千鶴,33
04/20,8,村人A,7,未来,31
04/20,8,村人A,8,可奈,30
04/20,8,村人A,9,瑞希,24
04/20,8,村人A,10,志保,19
04/20,9,村人A,1,ロコ,1426
04/20,9,村人A,2,茜,75
04/20,9,村人A,3,ひなた,72
04/20,9,村人A,4,亜利沙,37
04/20,9,村人A,5,美奈子,35
04/20,9,村人A,6,千鶴,35
04/20,9,村人A,7,未来,32
04/20,9,村人A,8,可奈,30
04/20,9,村人A,9,瑞希,25
04/20,9,村人A,10,志保,19
04/20,10,村人A,1,ロコ,1441
04/20,10,村人A,2,茜,82
04/20,10,村人A,3,ひなた,73
04/20,10,村人A,4,亜利沙,37
04/20,10,村人A,5,美奈子,35
04/20,10,村人A,6,千鶴,35
04/20,10,村人A,7,未来,34
04/20,10,村人A,8,可奈,31
04/20,10,村人A,9,瑞希,26
04/20,10,村人A,10,志保,19
04/20,11,村人A,1,ロコ,1463
04/20,11,村人A,2,茜,84
04/20,11,村人A,3,ひなた,73
04/20,11,村人A,4,亜利沙,37
04/20,11,村人A,5,美奈子,36
04/20,11,村人A,6,千鶴,36
04/20,11,村人A,7,未来,35
04/20,11,村人A,8,可奈,31
04/20,11,村人A,9,瑞希,26
04/20,11,村人A,10,志保,19
04/20,12,村人A,1,ロコ,1474
04/20,12,村人A,2,茜,84
04/20,12,村人A,3,ひなた,74
04/20,12,村人A,4,亜利沙,37
04/20,12,村人A,5,美奈子,37
04/20,12,村人A,6,千鶴,36
04/20,12,村人A,7,未来,35
04/20,12,村人A,8,可奈,31
04/20,12,村人A,9,瑞希,26
04/20,12,村人A,10,志保,19
04/20,13,村人A,1,ロコ,1477
04/20,13,村人A,2,茜,84
04/20,13,村人A,3,ひなた,74
04/20,13,村人A,4,美奈子,38
04/20,13,村人A,5,亜利沙,37
04/20,13,村人A,6,千鶴,36
04/20,13,村人A,7,未来,35
04/20,13,村人A,8,可奈,31
04/20,13,村人A,9,瑞希,26
04/20,13,村人A,10,志保,19
04/20,14,村人A,1,ロコ,1485
04/20,14,村人A,2,茜,84
04/20,14,村人A,3,ひなた,74
04/20,14,村人A,4,美奈子,38
04/20,14,村人A,5,亜利沙,37
04/20,14,村人A,6,千鶴,36
04/20,14,村人A,7,未来,35
04/20,14,村人A,8,可奈,31
04/20,14,村人A,9,瑞希,29
04/20,14,村人A,10,志保,19
04/20,15,村人A,1,ロコ,1485
04/20,15,村人A,2,茜,84
04/20,15,村人A,3,ひなた,74
04/20,15,村人A,4,美奈子,38
04/20,15,村人A,5,亜利沙,37
04/20,15,村人A,6,千鶴,36
04/20,15,村人A,7,未来,35
04/20,15,村人A,8,可奈,31
04/20,15,村人A,9,瑞希,30
04/20,15,村人A,10,志保,19
04/20,16,村人A,1,ロコ,1490
04/20,16,村人A,2,茜,84
04/20,16,村人A,3,ひなた,74
04/20,16,村人A,4,美奈子,38
04/20,16,村人A,5,亜利沙,37
04/20,16,村人A,6,千鶴,36
04/20,16,村人A,7,未来,35
04/20,16,村人A,8,可奈,31
04/20,16,村人A,9,瑞希,30
04/20,16,村人A,10,志保,19
04/20,17,村人A,1,ロコ,1502
04/20,17,村人A,2,茜,84
04/20,17,村人A,3,ひなた,74
04/20,17,村人A,4,美奈子,40
04/20,17,村人A,5,亜利沙,37
04/20,17,村人A,6,千鶴,36
04/20,17,村人A,7,未来,35
04/20,17,村人A,8,可奈,31
04/20,17,村人A,9,瑞希,30
04/20,17,村人A,10,志保,19
04/20,18,村人A,1,ロコ,1521
04/20,18,村人A,2,茜,84
04/20,18,村人A,3,ひなた,76
04/20,18,村人A,4,美奈子,40
04/20,18,村人A,5,亜利沙,37
04/20,18,村人A,6,千鶴,36
04/20,18,村人A,7,未来,35
04/20,18,村人A,8,可奈,32
04/20,18,村人A,9,瑞希,30
04/20,18,村人A,10,志保,19
04/20,19,村人A,1,ロコ,1530
04/20,19,村人A,2,茜,85
04/20,19,村人A,3,ひなた,76
04/20,19,村人A,4,美奈子,40
04/20,19,村人A,5,亜利沙,37
04/20,19,村人A,6,千鶴,37
04/20,19,村人A,7,未来,35
04/20,19,村人A,8,可奈,32
04/20,19,村人A,9,瑞希,31
04/20,19,村人A,10,志保,19
04/20,20,村人A,1,ロコ,1548
04/20,20,村人A,2,茜,86
04/20,20,村人A,3,ひなた,76
04/20,20,村人A,4,美奈子,46
04/20,20,村人A,5,亜利沙,37
04/20,20,村人A,6,千鶴,37
04/20,20,村人A,7,未来,35
04/20,20,村人A,8,可奈,32
04/20,20,村人A,9,瑞希,32
04/20,20,村人A,10,志保,19
04/20,21,村人A,1,ロコ,1551
04/20,21,村人A,2,茜,87
04/20,21,村人A,3,ひなた,77
04/20,21,村人A,4,美奈子,47
04/20,21,村人A,5,亜利沙,37
04/20,21,村人A,6,千鶴,37
04/20,21,村人A,7,未来,35
04/20,21,村人A,8,可奈,34
04/20,21,村人A,9,瑞希,32
04/20,21,村人A,10,志保,19
04/20,22,村人A,1,ロコ,1567
04/20,22,村人A,2,茜,87
04/20,22,村人A,3,ひなた,77
04/20,22,村人A,4,美奈子,48
04/20,22,村人A,5,千鶴,38
04/20,22,村人A,6,亜利沙,37
04/20,22,村人A,7,未来,36
04/20,22,村人A,8,可奈,34
04/20,22,村人A,9,瑞希,32
04/20,22,村人A,10,志保,19
04/20,23,村人A,1,ロコ,1574
04/20,23,村人A,2,茜,87
04/20,23,村人A,3,ひなた,77
04/20,23,村人A,4,美奈子,48
04/20,23,村人A,5,亜利沙,40
04/20,23,村人A,6,千鶴,38
04/20,23,村人A,7,未来,36
04/20,23,村人A,8,可奈,34
04/20,23,村人A,9,瑞希,32
