日付,時間,役,順位,名前,得票数
04/19,2,転校生,1,エレナ,510
04/19,2,転校生,2,可憐,420
04/19,2,転校生,3,瑞希,140
04/19,2,転校生,4,志保,118
04/19,2,転校生,5,エミリー,76
04/19,2,転校生,6,静香,34
04/19,2,転校生,7,杏奈,29
04/19,2,転校生,8,まつり,28
04/19,2,転校生,9,翼,26
04/19,2,転校生,10,ジュリア,20
04/19,3,転校生,1,エレナ,531
04/19,3,転校生,2,可憐,440
04/19,3,転校生,3,瑞希,140
04/19,3,転校生,4,志保,124
04/19,3,転校生,5,エミリー,78
04/19,3,転校生,6,静香,36
04/19,3,転校生,7,杏奈,30
04/19,3,転校生,8,まつり,28
04/19,3,転校生,9,翼,26
04/19,3,転校生,10,ジュリア,20
04/19,4,転校生,1,エレナ,546
04/19,4,転校生,2,可憐,450
04/19,4,転校生,3,瑞希,144
04/19,4,転校生,4,志保,124
04/19,4,転校生,5,エミリー,78
04/19,4,転校生,6,静香,40
04/19,4,転校生,7,杏奈,32
04/19,4,転校生,8,まつり,28
04/19,4,転校生,9,翼,26
04/19,4,転校生,10,ジュリア,20
04/19,5,転校生,1,エレナ,557
04/19,5,転校生,2,可憐,454
04/19,5,転校生,3,瑞希,145
04/19,5,転校生,4,志保,126
04/19,5,転校生,5,エミリー,81
04/19,5,転校生,6,静香,40
04/19,5,転校生,7,杏奈,32
04/19,5,転校生,8,翼,30
04/19,5,転校生,9,まつり,28
04/19,5,転校生,10,ジュリア,20
04/19,6,転校生,1,エレナ,565
04/19,6,転校生,2,可憐,466
04/19,6,転校生,3,瑞希,146
04/19,6,転校生,4,志保,126
04/19,6,転校生,5,エミリー,82
04/19,6,転校生,6,静香,40
04/19,6,転校生,7,杏奈,32
04/19,6,転校生,8,翼,30
04/19,6,転校生,9,まつり,28
04/19,6,転校生,10,ジュリア,20
04/19,7,転校生,1,エレナ,581
04/19,7,転校生,2,可憐,494
04/19,7,転校生,3,瑞希,149
04/19,7,転校生,4,志保,126
04/19,7,転校生,5,エミリー,85
04/19,7,転校生,6,静香,40
04/19,7,転校生,7,杏奈,32
04/19,7,転校生,8,翼,30
04/19,7,転校生,9,まつり,29
04/19,7,転校生,10,ジュリア,20
04/19,8,転校生,1,エレナ,615
04/19,8,転校生,2,可憐,517
04/19,8,転校生,3,瑞希,157
04/19,8,転校生,4,志保,133
04/19,8,転校生,5,エミリー,88
04/19,8,転校生,6,静香,42
04/19,8,転校生,7,杏奈,35
04/19,8,転校生,8,翼,30
04/19,8,転校生,9,まつり,30
04/19,8,転校生,10,ジュリア,20
04/19,9,転校生,1,エレナ,633
04/19,9,転校生,2,可憐,545
04/19,9,転校生,3,瑞希,159
04/19,9,転校生,4,志保,135
04/19,9,転校生,5,エミリー,88
04/19,9,転校生,6,静香,46
04/19,9,転校生,7,杏奈,37
04/19,9,転校生,8,まつり,31
04/19,9,転校生,9,翼,30
04/19,9,転校生,10,ジュリア,23
04/19,10,転校生,1,エレナ,648
04/19,10,転校生,2,可憐,558
04/19,10,転校生,3,瑞希,159
04/19,10,転校生,4,志保,136
04/19,10,転校生,5,エミリー,88
04/19,10,転校生,6,静香,46
04/19,10,転校生,7,杏奈,37
04/19,10,転校生,8,まつり,32
04/19,10,転校生,9,翼,31
04/19,10,転校生,10,ジュリア,23
04/19,11,転校生,1,エレナ,662
04/19,11,転校生,2,可憐,575
04/19,11,転校生,3,瑞希,160
04/19,11,転校生,4,志保,140
04/19,11,転校生,5,エミリー,90
04/19,11,転校生,6,静香,46
04/19,11,転校生,7,杏奈,37
04/19,11,転校生,8,まつり,32
04/19,11,転校生,9,翼,31
04/19,11,転校生,10,ジュリア,23
04/19,12,転校生,1,エレナ,672
04/19,12,転校生,2,可憐,583
04/19,12,転校生,3,瑞希,162
04/19,12,転校生,4,志保,140
04/19,12,転校生,5,エミリー,91
04/19,12,転校生,6,静香,46
04/19,12,転校生,7,杏奈,37
04/19,12,転校生,8,まつり,33
04/19,12,転校生,9,翼,31
04/19,12,転校生,10,ジュリア,26
04/19,13,転校生,1,エレナ,697
04/19,13,転校生,2,可憐,604
04/19,13,転校生,3,瑞希,165
04/19,13,転校生,4,志保,142
04/19,13,転校生,5,エミリー,92
04/19,13,転校生,6,静香,46
04/19,13,転校生,7,杏奈,37
04/19,13,転校生,8,まつり,33
04/19,13,転校生,9,翼,31
04/19,13,転校生,10,ジュリア,26
04/19,14,転校生,1,エレナ,722
04/19,14,転校生,2,可憐,617
04/19,14,転校生,3,瑞希,167
04/19,14,転校生,4,志保,146
04/19,14,転校生,5,エミリー,92
04/19,14,転校生,6,静香,46
04/19,14,転校生,7,杏奈,37
04/19,14,転校生,8,翼,34
04/19,14,転校生,9,まつり,33
04/19,14,転校生,10,ジュリア,26
04/19,15,転校生,1,エレナ,734
04/19,15,転校生,2,可憐,621
04/19,15,転校生,3,瑞希,169
04/19,15,転校生,4,志保,146
04/19,15,転校生,5,エミリー,92
04/19,15,転校生,6,静香,46
04/19,15,転校生,7,杏奈,39
04/19,15,転校生,8,翼,34
04/19,15,転校生,9,まつり,33
04/19,15,転校生,10,ジュリア,26
04/19,16,転校生,1,エレナ,748
04/19,16,転校生,2,可憐,632
04/19,16,転校生,3,瑞希,174
04/19,16,転校生,4,志保,146
04/19,16,転校生,5,エミリー,92
04/19,16,転校生,6,静香,46
04/19,16,転校生,7,杏奈,39
04/19,16,転校生,8,翼,35
04/19,16,転校生,9,まつり,33
04/19,16,転校生,10,ジュリア,26
04/19,17,転校生,1,エレナ,763
04/19,17,転校生,2,可憐,636
04/19,17,転校生,3,瑞希,178
04/19,17,転校生,4,志保,146
04/19,17,転校生,5,エミリー,92
04/19,17,転校生,6,静香,46
04/19,17,転校生,7,杏奈,39
04/19,17,転校生,8,翼,35
04/19,17,転校生,9,まつり,33
04/19,17,転校生,10,ジュリア,26
04/19,18,転校生,1,エレナ,771
04/19,18,転校生,2,可憐,648
04/19,18,転校生,3,瑞希,179
04/19,18,転校生,4,志保,146
04/19,18,転校生,5,エミリー,92
04/19,18,転校生,6,静香,46
