日付,時間,役,順位,名前,得票数
04/19,2,部長,1,瑞希,491
04/19,2,部長,2,このみ,458
04/19,2,部長,3,琴葉,67
04/19,2,部長,4,紗代子,63
04/19,2,部長,5,亜利沙,42
04/19,2,部長,6,莉緒,31
04/19,2,部長,7,風花,25
04/19,2,部長,8,麗花,24
04/19,2,部長,9,千鶴,24
04/19,2,部長,10,まつり,23
04/19,3,部長,1,瑞希,528
04/19,3,部長,2,このみ,493
04/19,3,部長,3,琴葉,67
04/19,3,部長,4,紗代子,64
04/19,3,部長,5,亜利沙,42
04/19,3,部長,6,莉緒,31
04/19,3,部長,7,風花,26
04/19,3,部長,8,千鶴,26
04/19,3,部長,9,麗花,24
04/19,3,部長,10,恵美,24
04/19,4,部長,1,瑞希,531
04/19,4,部長,2,このみ,504
04/19,4,部長,3,琴葉,67
04/19,4,部長,4,紗代子,65
04/19,4,部長,5,亜利沙,42
04/19,4,部長,6,莉緒,31
04/19,4,部長,7,風花,26
04/19,4,部長,8,千鶴,26
04/19,4,部長,9,麗花,24
04/19,4,部長,10,恵美,24
04/19,5,部長,1,瑞希,538
04/19,5,部長,2,このみ,510
04/19,5,部長,3,琴葉,67
04/19,5,部長,4,紗代子,65
04/19,5,部長,5,亜利沙,44
04/19,5,部長,6,莉緒,31
04/19,5,部長,7,風花,26
04/19,5,部長,8,千鶴,26
04/19,5,部長,9,麗花,24
04/19,5,部長,10,恵美,24
04/19,6,部長,1,瑞希,542
04/19,6,部長,2,このみ,525
04/19,6,部長,3,琴葉,68
04/19,6,部長,4,紗代子,67
04/19,6,部長,5,亜利沙,44
04/19,6,部長,6,莉緒,31
04/19,6,部長,7,風花,26
04/19,6,部長,8,千鶴,26
04/19,6,部長,9,恵美,25
04/19,6,部長,10,麗花,24
04/19,7,部長,1,瑞希,555
04/19,7,部長,2,このみ,545
04/19,7,部長,3,紗代子,72
04/19,7,部長,4,琴葉,70
04/19,7,部長,5,亜利沙,44
04/19,7,部長,6,莉緒,36
04/19,7,部長,7,風花,26
04/19,7,部長,8,千鶴,26
04/19,7,部長,9,恵美,25
04/19,7,部長,10,まつり,25
04/19,8,部長,1,瑞希,581
04/19,8,部長,2,このみ,573
04/19,8,部長,3,紗代子,72
04/19,8,部長,4,琴葉,72
04/19,8,部長,5,亜利沙,44
04/19,8,部長,6,莉緒,37
04/19,8,部長,7,千鶴,29
04/19,8,部長,8,風花,26
04/19,8,部長,9,恵美,25
04/19,8,部長,10,まつり,25
04/19,9,部長,1,瑞希,631
04/19,9,部長,2,このみ,622
04/19,9,部長,3,紗代子,74
04/19,9,部長,4,琴葉,73
04/19,9,部長,5,亜利沙,44
04/19,9,部長,6,莉緒,40
04/19,9,部長,7,千鶴,29
04/19,9,部長,8,風花,26
04/19,9,部長,9,恵美,26
04/19,9,部長,10,まつり,25
04/19,10,部長,1,瑞希,665
04/19,10,部長,2,このみ,633
04/19,10,部長,3,紗代子,75
04/19,10,部長,4,琴葉,74
