日付,時間,役,順位,名前,得票数
04/19,2,風来坊,1,ジュリア,619
04/19,2,風来坊,2,杏奈,255
04/19,2,風来坊,3,瑞希,168
04/19,2,風来坊,4,翼,167
04/19,2,風来坊,5,昴,152
04/19,2,風来坊,6,奈緒,146
04/19,2,風来坊,7,恵美,97
04/19,2,風来坊,8,このみ,93
04/19,2,風来坊,9,静香,81
04/19,2,風来坊,10,未来,80
04/19,3,風来坊,1,ジュリア,660
04/19,3,風来坊,2,杏奈,267
04/19,3,風来坊,3,翼,176
04/19,3,風来坊,4,瑞希,172
04/19,3,風来坊,5,昴,158
04/19,3,風来坊,6,奈緒,152
04/19,3,風来坊,7,このみ,99
04/19,3,風来坊,8,恵美,98
04/19,3,風来坊,9,静香,86
04/19,3,風来坊,10,未来,81
04/19,4,風来坊,1,ジュリア,663
04/19,4,風来坊,2,杏奈,268
04/19,4,風来坊,3,翼,178
04/19,4,風来坊,4,瑞希,173
04/19,4,風来坊,5,昴,162
04/19,4,風来坊,6,奈緒,152
04/19,4,風来坊,7,このみ,103
04/19,4,風来坊,8,恵美,99
04/19,4,風来坊,9,静香,88
04/19,4,風来坊,10,未来,81
04/19,5,風来坊,1,ジュリア,669
04/19,5,風来坊,2,杏奈,271
04/19,5,風来坊,3,翼,190
04/19,5,風来坊,4,瑞希,173
04/19,5,風来坊,5,昴,162
04/19,5,風来坊,6,奈緒,152
04/19,5,風来坊,7,恵美,105
04/19,5,風来坊,8,このみ,103
04/19,5,風来坊,9,静香,89
04/19,5,風来坊,10,未来,84
04/19,6,風来坊,1,ジュリア,677
04/19,6,風来坊,2,杏奈,272
04/19,6,風来坊,3,翼,194
04/19,6,風来坊,4,瑞希,175
04/19,6,風来坊,5,昴,165
04/19,6,風来坊,6,奈緒,154
04/19,6,風来坊,7,恵美,105
04/19,6,風来坊,8,このみ,103
04/19,6,風来坊,9,静香,93
04/19,6,風来坊,10,未来,89
04/19,7,風来坊,1,ジュリア,704
04/19,7,風来坊,2,杏奈,278
04/19,7,風来坊,3,翼,199
04/19,7,風来坊,4,瑞希,176
04/19,7,風来坊,5,昴,170
04/19,7,風来坊,6,奈緒,164
04/19,7,風来坊,7,恵美,106
04/19,7,風来坊,8,このみ,103
04/19,7,風来坊,9,静香,93
04/19,7,風来坊,10,未来,90
04/19,8,風来坊,1,ジュリア,743
04/19,8,風来坊,2,杏奈,293
04/19,8,風来坊,3,翼,220
04/19,8,風来坊,4,昴,182
04/19,8,風来坊,5,瑞希,178
04/19,8,風来坊,6,奈緒,177
04/19,8,風来坊,7,恵美,110
04/19,8,風来坊,8,このみ,103
04/19,8,風来坊,9,静香,98
04/19,8,風来坊,10,未来,95
04/19,9,風来坊,1,ジュリア,778
04/19,9,風来坊,2,杏奈,296
04/19,9,風来坊,3,翼,229
04/19,9,風来坊,4,昴,185
04/19,9,風来坊,5,奈緒,179
04/19,9,風来坊,6,瑞希,179
04/19,9,風来坊,7,恵美,110
04/19,9,風来坊,8,このみ,103
04/19,9,風来坊,9,静香,99
04/19,9,風来坊,10,未来,95
04/19,10,風来坊,1,ジュリア,805
04/19,10,風来坊,2,杏奈,300
04/19,10,風来坊,3,翼,236
04/19,10,風来坊,4,昴,188
04/19,10,風来坊,5,奈緒,187
04/19,10,風来坊,6,瑞希,181
04/19,10,風来坊,7,恵美,110
04/19,10,風来坊,8,このみ,105
04/19,10,風来坊,9,静香,101
04/19,10,風来坊,10,未来,95
04/19,11,風来坊,1,ジュリア,826
04/19,11,風来坊,2,杏奈,301
04/19,11,風来坊,3,翼,240
04/19,11,風来坊,4,昴,190
04/19,11,風来坊,5,奈緒,187
04/19,11,風来坊,6,瑞希,182
04/19,11,風来坊,7,恵美,112
04/19,11,風来坊,8,このみ,105
04/19,11,風来坊,9,静香,102
04/19,11,風来坊,10,未来,95
04/19,12,風来坊,1,ジュリア,839
04/19,12,風来坊,2,杏奈,306
04/19,12,風来坊,3,翼,248
04/19,12,風来坊,4,昴,191
04/19,12,風来坊,5,奈緒,190
04/19,12,風来坊,6,瑞希,182
04/19,12,風来坊,7,恵美,114
04/19,12,風来坊,8,静香,107
04/19,12,風来坊,9,このみ,105
04/19,12,風来坊,10,未来,97
04/19,13,風来坊,1,ジュリア,864
04/19,13,風来坊,2,杏奈,314
04/19,13,風来坊,3,翼,259
04/19,13,風来坊,4,昴,198
04/19,13,風来坊,5,奈緒,191
04/19,13,風来坊,6,瑞希,182
04/19,13,風来坊,7,恵美,115
04/19,13,風来坊,8,静香,108
04/19,13,風来坊,9,このみ,107
04/19,13,風来坊,10,未来,98
04/19,14,風来坊,1,ジュリア,879
04/19,14,風来坊,2,杏奈,321
04/19,14,風来坊,3,翼,273
04/19,14,風来坊,4,昴,204
04/19,14,風来坊,5,奈緒,193
04/19,14,風来坊,6,瑞希,187
04/19,14,風来坊,7,恵美,117
04/19,14,風来坊,8,静香,109
04/19,14,風来坊,9,このみ,107
04/19,14,風来坊,10,未来,105
04/19,15,風来坊,1,ジュリア,888
04/19,15,風来坊,2,杏奈,321
04/19,15,風来坊,3,翼,275
04/19,15,風来坊,4,昴,204
04/19,15,風来坊,5,奈緒,200
04/19,15,風来坊,6,瑞希,189
04/19,15,風来坊,7,恵美,117
04/19,15,風来坊,8,静香,109
04/19,15,風来坊,9,未来,108
04/19,15,風来坊,10,このみ,107
04/19,16,風来坊,1,ジュリア,894
04/19,16,風来坊,2,杏奈,326
04/19,16,風来坊,3,翼,276
04/19,16,風来坊,4,昴,206
04/19,16,風来坊,5,奈緒,200
04/19,16,風来坊,6,瑞希,190
04/19,16,風来坊,7,恵美,120
04/19,16,風来坊,8,未来,113
04/19,16,風来坊,9,静香,111
04/19,16,風来坊,10,このみ,108
04/19,17,風来坊,1,ジュリア,896
04/19,17,風来坊,2,杏奈,332
04/19,17,風来坊,3,翼,281
04/19,17,風来坊,4,昴,210
04/19,17,風来坊,5,奈緒,200
04/19,17,風来坊,6,瑞希,191
04/19,17,風来坊,7,恵美,127
04/19,17,風来坊,8,未来,113
04/19,17,風来坊,9,静香,111
04/19,17,風来坊,10,このみ,109
04/19,18,風来坊,1,ジュリア,910
04/19,18,風来坊,2,杏奈,342
04/19,18,風来坊,3,翼,285
04/19,18,風来坊,4,昴,212
04/19,18,風来坊,5,奈緒,203
04/19,18,風来坊,6,瑞希,193
04/19,18,風来坊,7,恵美,129
04/19,18,風来坊,8,未来,115
04/19,18,風来坊,9,静香,111
04/19,18,風来坊,10,このみ,110
04/19,19,風来坊,1,ジュリア,917
04/19,19,風来坊,2,杏奈,346
04/19,19,風来坊,3,翼,288
04/19,19,風来坊,4,昴,213
04/19,19,風来坊,5,奈緒,210
04/19,19,風来坊,6,瑞希,195
04/19,19,風来坊,7,恵美,129
04/19,19,風来坊,8,未来,116
04/19,19,風来坊,9,このみ,112
04/19,19,風来坊,10,静香,111
04/19,20,風来坊,1,ジュリア,932
04/19,20,風来坊,2,杏奈,349
04/19,20,風来坊,3,翼,295
04/19,20,風来坊,4,奈緒,217
04/19,20,風来坊,5,昴,214
04/19,20,風来坊,6,瑞希,195
04/19,20,風来坊,7,恵美,134
04/19,20,風来坊,8,未来,117
04/19,20,風来坊,9,静香,113
04/19,20,風来坊,10,このみ,112
04/19,21,風来坊,1,ジュリア,944
04/19,21,風来坊,2,杏奈,357
04/19,21,風来坊,3,翼,311
04/19,21,風来坊,4,昴,225
04/19,21,風来坊,5,奈緒,223
04/19,21,風来坊,6,瑞希,203
04/19,21,風来坊,7,恵美,138
04/19,21,風来坊,8,未来,121
04/19,21,風来坊,9,このみ,116
04/19,21,風来坊,10,静香,115
04/19,22,風来坊,1,ジュリア,965
04/19,22,風来坊,2,杏奈,365
04/19,22,風来坊,3,翼,315
04/19,22,風来坊,4,昴,234
04/19,22,風来坊,5,奈緒,225
04/19,22,風来坊,6,瑞希,205
04/19,22,風来坊,7,恵美,145
04/19,22,風来坊,8,未来,122
04/19,22,風来坊,9,静香,119
04/19,22,風来坊,10,このみ,117
04/19,23,風来坊,1,ジュリア,981
04/19,23,風来坊,2,杏奈,377
04/19,23,風来坊,3,翼,333
04/19,23,風来坊,4,昴,236
04/19,23,風来坊,5,奈緒,227
