日付,時間,役,順位,名前,得票数
04/19,2,魔王,1,朋花,587
04/19,2,魔王,2,まつり,264
04/19,2,魔王,3,志保,72
04/19,2,魔王,4,杏奈,68
04/19,2,魔王,5,風花,52
04/19,2,魔王,6,百合子,44
04/19,2,魔王,7,麗花,43
04/19,2,魔王,8,このみ,42
04/19,2,魔王,9,可憐,34
04/19,2,魔王,10,莉緒,34
04/19,3,魔王,1,朋花,614
04/19,3,魔王,2,まつり,265
04/19,3,魔王,3,志保,77
04/19,3,魔王,4,杏奈,68
04/19,3,魔王,5,風花,54
04/19,3,魔王,6,百合子,45
04/19,3,魔王,7,麗花,43
04/19,3,魔王,8,このみ,42
04/19,3,魔王,9,莉緒,36
04/19,3,魔王,10,可憐,36
04/19,4,魔王,1,朋花,618
04/19,4,魔王,2,まつり,268
04/19,4,魔王,3,志保,81
04/19,4,魔王,4,杏奈,68
04/19,4,魔王,5,風花,54
04/19,4,魔王,6,百合子,46
04/19,4,魔王,7,麗花,44
04/19,4,魔王,8,このみ,43
04/19,4,魔王,9,莉緒,37
04/19,4,魔王,10,可憐,36
04/19,5,魔王,1,朋花,629
04/19,5,魔王,2,まつり,269
04/19,5,魔王,3,志保,81
04/19,5,魔王,4,杏奈,69
04/19,5,魔王,5,風花,54
04/19,5,魔王,6,百合子,47
04/19,5,魔王,7,麗花,44
04/19,5,魔王,8,このみ,44
04/19,5,魔王,9,莉緒,37
04/19,5,魔王,10,可憐,36
04/19,6,魔王,1,朋花,641
04/19,6,魔王,2,まつり,270
04/19,6,魔王,3,志保,81
04/19,6,魔王,4,杏奈,71
04/19,6,魔王,5,風花,56
04/19,6,魔王,6,百合子,47
04/19,6,魔王,7,麗花,44
04/19,6,魔王,8,このみ,44
04/19,6,魔王,9,莉緒,37
04/19,6,魔王,10,可憐,36
04/19,7,魔王,1,朋花,660
04/19,7,魔王,2,まつり,273
04/19,7,魔王,3,志保,85
04/19,7,魔王,4,杏奈,71
04/19,7,魔王,5,風花,58
04/19,7,魔王,6,百合子,48
04/19,7,魔王,7,このみ,46
04/19,7,魔王,8,麗花,45
04/19,7,魔王,9,莉緒,40
04/19,7,魔王,10,可憐,36
04/19,8,魔王,1,朋花,696
04/19,8,魔王,2,まつり,281
04/19,8,魔王,3,志保,86
04/19,8,魔王,4,杏奈,73
04/19,8,魔王,5,風花,58
04/19,8,魔王,6,このみ,50
04/19,8,魔王,7,百合子,49
04/19,8,魔王,8,麗花,45
04/19,8,魔王,9,莉緒,40
04/19,8,魔王,10,可憐,37
04/19,9,魔王,1,朋花,723
04/19,9,魔王,2,まつり,285
04/19,9,魔王,3,志保,86
04/19,9,魔王,4,杏奈,75
04/19,9,魔王,5,風花,59
04/19,9,魔王,6,このみ,52
04/19,9,魔王,7,百合子,50
04/19,9,魔王,8,麗花,46
04/19,9,魔王,9,莉緒,40
04/19,9,魔王,10,可憐,38
04/19,10,魔王,1,朋花,734
04/19,10,魔王,2,まつり,295
04/19,10,魔王,3,志保,86
04/19,10,魔王,4,杏奈,76
04/19,10,魔王,5,風花,63
04/19,10,魔王,6,このみ,52
04/19,10,魔王,7,百合子,50
04/19,10,魔王,8,麗花,46
04/19,10,魔王,9,莉緒,40
04/19,10,魔王,10,可憐,39
04/19,11,魔王,1,朋花,749
04/19,11,魔王,2,まつり,295
04/19,11,魔王,3,志保,86
04/19,11,魔王,4,杏奈,76
04/19,11,魔王,5,風花,64
04/19,11,魔王,6,このみ,52
04/19,11,魔王,7,麗花,52
04/19,11,魔王,8,百合子,50
04/19,11,魔王,9,莉緒,40
04/19,11,魔王,10,可憐,39
04/19,12,魔王,1,朋花,764
04/19,12,魔王,2,まつり,299
04/19,12,魔王,3,志保,86
04/19,12,魔王,4,杏奈,76
04/19,12,魔王,5,風花,65
04/19,12,魔王,6,このみ,54
04/19,12,魔王,7,麗花,52
04/19,12,魔王,8,百合子,50
04/19,12,魔王,9,莉緒,40
04/19,12,魔王,10,可憐,39
04/19,13,魔王,1,朋花,792
04/19,13,魔王,2,まつり,307
04/19,13,魔王,3,志保,89
04/19,13,魔王,4,杏奈,77
04/19,13,魔王,5,風花,66
04/19,13,魔王,6,このみ,55
04/19,13,魔王,7,麗花,53
04/19,13,魔王,8,百合子,50
04/19,13,魔王,9,莉緒,40
04/19,13,魔王,10,可憐,40
04/19,14,魔王,1,朋花,802
04/19,14,魔王,2,まつり,308
04/19,14,魔王,3,志保,89
04/19,14,魔王,4,杏奈,78
04/19,14,魔王,5,風花,69
04/19,14,魔王,6,このみ,57
04/19,14,魔王,7,麗花,53
04/19,14,魔王,8,百合子,50
04/19,14,魔王,9,莉緒,40
04/19,14,魔王,10,可憐,40
04/19,15,魔王,1,朋花,820
04/19,15,魔王,2,まつり,309
04/19,15,魔王,3,志保,90
04/19,15,魔王,4,杏奈,78
04/19,15,魔王,5,風花,71
04/19,15,魔王,6,このみ,57
04/19,15,魔王,7,麗花,53
04/19,15,魔王,8,百合子,52
04/19,15,魔王,9,莉緒,40
04/19,15,魔王,10,可憐,40
04/19,16,魔王,1,朋花,830
04/19,16,魔王,2,まつり,311
04/19,16,魔王,3,志保,90
04/19,16,魔王,4,杏奈,78
04/19,16,魔王,5,風花,71
04/19,16,魔王,6,このみ,57
04/19,16,魔王,7,麗花,54
04/19,16,魔王,8,百合子,52
04/19,16,魔王,9,莉緒,40
04/19,16,魔王,10,可憐,40
04/19,17,魔王,1,朋花,836
04/19,17,魔王,2,まつり,318
04/19,17,魔王,3,志保,92
04/19,17,魔王,4,風花,79
04/19,17,魔王,5,杏奈,78
04/19,17,魔王,6,このみ,57
04/19,17,魔王,7,麗花,54
04/19,17,魔王,8,百合子,54
04/19,17,魔王,9,莉緒,40
04/19,17,魔王,10,可憐,40
04/19,18,魔王,1,朋花,840
04/19,18,魔王,2,まつり,318
04/19,18,魔王,3,志保,92
04/19,18,魔王,4,風花,79
04/19,18,魔王,5,杏奈,78
04/19,18,魔王,6,このみ,57
04/19,18,魔王,7,百合子,55
04/19,18,魔王,8,麗花,54
04/19,18,魔王,9,可憐,41
04/19,18,魔王,10,莉緒,40
04/19,19,魔王,1,朋花,848
04/19,19,魔王,2,まつり,323
04/19,19,魔王,3,志保,93
04/19,19,魔王,4,杏奈,81
04/19,19,魔王,5,風花,79
04/19,19,魔王,6,このみ,59
04/19,19,魔王,7,百合子,56
04/19,19,魔王,8,麗花,54
04/19,19,魔王,9,可憐,41
04/19,19,魔王,10,莉緒,41
04/19,20,魔王,1,朋花,857
04/19,20,魔王,2,まつり,326
04/19,20,魔王,3,志保,95
04/19,20,魔王,4,杏奈,84
04/19,20,魔王,5,風花,80
04/19,20,魔王,6,このみ,59
04/19,20,魔王,7,百合子,56
04/19,20,魔王,8,麗花,55
04/19,20,魔王,9,莉緒,42
04/19,20,魔王,10,可憐,41
04/19,21,魔王,1,朋花,873
04/19,21,魔王,2,まつり,327
04/19,21,魔王,3,志保,97
04/19,21,魔王,4,杏奈,89
04/19,21,魔王,5,風花,81
04/19,21,魔王,6,このみ,61
04/19,21,魔王,7,百合子,56
04/19,21,魔王,8,麗花,55
04/19,21,魔王,9,莉緒,42
04/19,21,魔王,10,可憐,42
04/19,22,魔王,1,朋花,901
04/19,22,魔王,2,まつり,333
04/19,22,魔王,3,志保,106
04/19,22,魔王,4,杏奈,89
04/19,22,魔王,5,風花,83
04/19,22,魔王,6,このみ,62
04/19,22,魔王,7,麗花,59
04/19,22,魔王,8,百合子,57
04/19,22,魔王,9,莉緒,44
04/19,22,魔王,10,可憐,43
04/19,23,魔王,1,朋花,919
04/19,23,魔王,2,まつり,343
04/19,23,魔王,3,志保,112
04/19,23,魔王,4,杏奈,90
04/19,23,魔王,5,風花,86
04/19,23,魔王,6,このみ,63
04/19,23,魔王,7,麗花,61
04/19,23,魔王,8,百合子,57
04/19,23,魔王,9,莉緒,45
04/19,23,魔王,10,可憐,43
04/20,0,魔王,1,朋花,932
04/20,0,魔王,2,まつり,351
04/20,0,魔王,3,志保,114
04/20,0,魔王,4,杏奈,90
04/20,0,魔王,5,風花,87
04/20,0,魔王,6,このみ,67
04/20,0,魔王,7,麗花,63
04/20,0,魔王,8,百合子,57
04/20,0,魔王,9,莉緒,46
04/20,0,魔王,10,可憐,45
04/20,1,魔王,1,朋花,1040
04/20,1,魔王,2,まつり,360
04/20,1,魔王,3,志保,131
04/20,1,魔王,4,風花,96
04/20,1,魔王,5,杏奈,95
04/20,1,魔王,6,このみ,68
04/20,1,魔王,7,麗花,66
04/20,1,魔王,8,百合子,60
04/20,1,魔王,9,莉緒,48
04/20,1,魔王,10,可憐,47
04/20,2,魔王,1,朋花,1060
04/20,2,魔王,2,まつり,366
04/20,2,魔王,3,志保,132
04/20,2,魔王,4,杏奈,99
04/20,2,魔王,5,風花,98
04/20,2,魔王,6,このみ,71
04/20,2,魔王,7,麗花,69
04/20,2,魔王,8,百合子,61
04/20,2,魔王,9,茜,50
04/20,2,魔王,10,莉緒,50
04/20,3,魔王,1,朋花,1073
04/20,3,魔王,2,まつり,369
04/20,3,魔王,3,志保,135
04/20,3,魔王,4,杏奈,99
04/20,3,魔王,5,風花,99
04/20,3,魔王,6,このみ,72
04/20,3,魔王,7,麗花,69
04/20,3,魔王,8,百合子,61
04/20,3,魔王,9,茜,50
04/20,3,魔王,10,莉緒,50
04/20,4,魔王,1,朋花,1082
04/20,4,魔王,2,まつり,371
04/20,4,魔王,3,志保,136
04/20,4,魔王,4,風花,101
04/20,4,魔王,5,杏奈,99
04/20,4,魔王,6,このみ,72
04/20,4,魔王,7,麗花,69
04/20,4,魔王,8,百合子,61
04/20,4,魔王,9,可憐,55
04/20,4,魔王,10,茜,54
04/20,5,魔王,1,朋花,1091
04/20,5,魔王,2,まつり,374
04/20,5,魔王,3,志保,137
04/20,5,魔王,4,杏奈,102
04/20,5,魔王,5,風花,101
04/20,5,魔王,6,このみ,72
04/20,5,魔王,7,麗花,69
04/20,5,魔王,8,百合子,61
04/20,5,魔王,9,可憐,55
04/20,5,魔王,10,茜,54
04/20,6,魔王,1,朋花,1101
04/20,6,魔王,2,まつり,374
04/20,6,魔王,3,志保,137
04/20,6,魔王,4,杏奈,102
04/20,6,魔王,5,風花,101
04/20,6,魔王,6,このみ,73
04/20,6,魔王,7,麗花,70
04/20,6,魔王,8,百合子,61
04/20,6,魔王,9,可憐,55
04/20,6,魔王,10,茜,55
04/20,7,魔王,1,朋花,1138
04/20,7,魔王,2,まつり,387
04/20,7,魔王,3,志保,137
04/20,7,魔王,4,杏奈,106
